"full_name","is_generator","coverage_ratio","run_lines_count","executable_lines_count","total_tests","total_calls","total_exceptions","total_paths","top1_path_calls","top1_path_ratio","top1_path_run_lines","top1_path_run_lines_ratio","top2_path_calls","top2_path_ratio","top2_path_run_lines","top2_path_run_lines_ratio"
"six._SixMetaPathImporter.__init__","False","100.0","2","2","0","1","0","1","1","100.0","2","100.0","-1","-1","-1","-1"
"six.MovedAttribute.__init__","False","64.3","9","14","2","93","0","3","74","79.6","8","57.1","15","16.1","6","42.9"
"six._LazyDescr.__init__","False","100.0","1","1","4","143","0","1","143","100.0","1","100.0","-1","-1","-1","-1"
"six.MovedModule.__init__","False","83.3","5","6","2","50","0","2","42","84.0","4","66.7","8","16.0","5","83.3"
"six._SixMetaPathImporter._add_module","False","100.0","2","2","0","53","0","1","53","100.0","2","100.0","-1","-1","-1","-1"
"six._LazyModule.__init__","False","100.0","2","2","0","6","0","1","6","100.0","2","100.0","-1","-1","-1","-1"
"six._SixMetaPathImporter._get_module","False","100.0","1","1","0","5","0","1","5","100.0","1","100.0","-1","-1","-1","-1"
"six._add_doc","False","100.0","1","1","1","9","0","1","9","100.0","1","100.0","-1","-1","-1","-1"
"six._LazyDescr.__get__","False","71.4","5","7","9","136","1","2","135","99.3","5","71.4","1","0.7","1","14.3"
"six.MovedModule._resolve","False","100.0","1","1","3","129","1","1","129","100.0","1","100.0","-1","-1","-1","-1"
"six._import_module","False","100.0","2","2","10","219","1","2","218","99.5","2","100.0","1","0.5","1","50.0"
"six._SixMetaPathImporter.find_spec","False","100.0","3","3","2","52","0","2","47","90.4","2","66.7","5","9.6","2","66.7"
"six.u","False","100.0","1","1","8","14","0","1","14","100.0","1","100.0","-1","-1","-1","-1"
"six.b","False","100.0","1","1","8","14","0","1","14","100.0","1","100.0","-1","-1","-1","-1"
"six.MovedAttribute._resolve","False","100.0","2","2","7","89","0","1","89","100.0","2","100.0","-1","-1","-1","-1"
"six._LazyModule.__dir__","False","100.0","3","3","6","133","0","1","133","100.0","3","100.0","-1","-1","-1","-1"
"six._SixMetaPathImporter.is_package","False","100.0","1","1","2","47","0","1","47","100.0","1","100.0","-1","-1","-1","-1"
"six._SixMetaPathImporter.create_module","False","100.0","1","1","2","47","0","1","47","100.0","1","100.0","-1","-1","-1","-1"
"six._SixMetaPathImporter.load_module","False","100.0","10","10","2","47","47","2","41","87.2","9","90.0","6","12.8","9","90.0"
"six._SixMetaPathImporter.exec_module","False","100.0","1","1","2","47","0","1","47","100.0","1","100.0","-1","-1","-1","-1"
"six.MovedModule.__getattr__","False","100.0","4","4","1","41","40","2","40","97.6","2","50.0","1","2.4","4","100.0"
"six.add_move","False","100.0","1","1","2","4","0","1","4","100.0","1","100.0","-1","-1","-1","-1"
"six.remove_move","False","100.0","7","7","3","5","3","3","2","40.0","2","28.6","2","40.0","5","71.4"
"six.get_unbound_function","False","100.0","1","1","1","1","0","1","1","100.0","1","100.0","-1","-1","-1","-1"
"six.iterkeys","False","100.0","1","1","1","2","0","1","2","100.0","1","100.0","-1","-1","-1","-1"
"six.itervalues","False","100.0","1","1","1","2","0","1","2","100.0","1","100.0","-1","-1","-1","-1"
"six.iteritems","False","100.0","1","1","1","2","0","1","2","100.0","1","100.0","-1","-1","-1","-1"
"six.iterlists","False","100.0","1","1","1","2","0","1","2","100.0","1","100.0","-1","-1","-1","-1"
"six.reraise","False","100.0","8","8","1","4","4","3","2","50.0","6","75.0","1","25.0","6","75.0"
"six.with_metaclass","False","16.7","2","12","4","10","0","1","10","100.0","2","16.7","-1","-1","-1","-1"
"six.add_metaclass","False","14.3","2","14","1","9","0","1","9","100.0","2","14.3","-1","-1","-1","-1"
"six.python_2_unicode_compatible","False","28.6","2","7","1","1","0","1","1","100.0","2","28.6","-1","-1","-1","-1"
