"full_name","is_generator","coverage_ratio","run_lines_count","executable_lines_count","total_tests","total_calls","total_exceptions","total_paths","top1_path_calls","top1_path_ratio","top1_path_run_lines","top1_path_run_lines_ratio","top2_path_calls","top2_path_ratio","top2_path_run_lines","top2_path_run_lines_ratio"
"os._Environ.__getitem__","False","100.0","5","5","36","5472","84","3","5388","98.5","3","60.0","81","1.5","4","80.0"
"os._fscodec.<locals>.fsencode","False","100.0","4","4","30","14520","0","2","14515","100.0","3","75.0","5","0.0","3","75.0"
"os._fscodec.<locals>.fsdecode","False","100.0","4","4","16","17753","0","2","17749","100.0","3","75.0","4","0.0","3","75.0"
"os.makedirs","False","83.3","15","18","6","327","11","6","166","50.8","10","55.6","149","45.6","5","27.8"
"os.walk","False","100.0","2","2","8","428","0","1","428","100.0","2","100.0","-1","-1","-1","-1"
"os._walk","True","87.2","41","47","8","12572","12572","10","6008","47.8","24","51.1","6004","47.8","27","57.4"
"os.fwalk","True","100.0","12","12","9","548","2","2","534","97.4","12","100.0","14","2.6","10","83.3"
"os._fwalk","True","95.3","41","43","9","3266","554","10","528","16.2","9","20.9","522","16.0","28","65.1"
"os._Environ.__iter__","True","100.0","3","3","28","2381","2169","2","2282","95.8","3","100.0","99","4.2","2","66.7"
"os._Environ.__setitem__","False","100.0","4","4","11","2176","2","3","2174","99.9","4","100.0","1","0.0","1","25.0"
"os._Environ.__repr__","False","100.0","3","3","1","1","0","1","1","100.0","3","100.0","-1","-1","-1","-1"
"os._Environ.__delitem__","False","100.0","6","6","14","2173","1","2","2172","100.0","4","66.7","1","0.0","6","100.0"
"os._Environ.__len__","False","100.0","1","1","8","17","0","1","17","100.0","1","100.0","-1","-1","-1","-1"
"os.get_exec_path","False","91.3","21","23","4","18","15","7","5","27.8","15","65.2","5","27.8","14","60.9"
"os._Environ.__ior__","False","100.0","2","2","3","4","2","2","2","50.0","2","100.0","2","50.0","1","50.0"
"os.popen","False","55.6","10","18","2","10","0","1","10","100.0","10","55.6","-1","-1","-1","-1"
"os._wrap_close.__init__","False","100.0","2","2","2","10","0","1","10","100.0","2","100.0","-1","-1","-1","-1"
"os._wrap_close.__enter__","False","100.0","1","1","2","10","0","1","10","100.0","1","100.0","-1","-1","-1","-1"
"os._wrap_close.__getattr__","False","100.0","1","1","1","9","0","1","9","100.0","1","100.0","-1","-1","-1","-1"
"os._wrap_close.__exit__","False","100.0","1","1","2","10","0","1","10","100.0","1","100.0","-1","-1","-1","-1"
"os._wrap_close.close","False","57.1","4","7","2","10","0","1","10","100.0","4","57.1","-1","-1","-1","-1"
"os._Environ.copy","False","100.0","1","1","4","16","0","1","16","100.0","1","100.0","-1","-1","-1","-1"
"os._Environ.__or__","False","100.0","5","5","1","2","0","2","1","50.0","4","80.0","1","50.0","2","40.0"
"os._wrap_close.__iter__","False","100.0","1","1","1","1","0","1","1","100.0","1","100.0","-1","-1","-1","-1"
"os._Environ.__ror__","False","100.0","5","5","1","2","0","2","1","50.0","4","80.0","1","50.0","2","40.0"
"os._Environ.setdefault","False","100.0","3","3","1","2","0","2","1","50.0","2","66.7","1","50.0","3","100.0"
"os.execvpe","False","100.0","1","1","2","4","4","1","4","100.0","1","100.0","-1","-1","-1","-1"
"os._execvpe","False","81.5","22","27","2","10","10","5","4","40.0","17","63.0","2","20.0","15","55.6"
"os.fdopen","False","83.3","5","6","2","4","1","1","4","100.0","5","83.3","-1","-1","-1","-1"
"os.removedirs","False","90.0","9","10","3","8","2","4","5","62.5","7","70.0","1","12.5","4","40.0"
"os.getenv","False","100.0","1","1","1","3","0","1","3","100.0","1","100.0","-1","-1","-1","-1"
"os.spawnv","False","100.0","1","1","8","13","6","1","13","100.0","1","100.0","-1","-1","-1","-1"
"os._spawnvef","False","57.9","11","19","17","34","12","3","18","52.9","9","47.4","12","35.3","3","15.8"
"os.spawnl","False","100.0","1","1","2","3","2","1","3","100.0","1","100.0","-1","-1","-1","-1"
"os.spawnle","False","100.0","2","2","2","3","2","1","3","100.0","2","100.0","-1","-1","-1","-1"
"os.spawnve","False","100.0","1","1","5","13","6","1","13","100.0","1","100.0","-1","-1","-1","-1"
"os.spawnlp","False","100.0","1","1","1","1","0","1","1","100.0","1","100.0","-1","-1","-1","-1"
"os.spawnvp","False","100.0","1","1","2","2","0","1","2","100.0","1","100.0","-1","-1","-1","-1"
"os.spawnlpe","False","100.0","2","2","1","1","0","1","1","100.0","2","100.0","-1","-1","-1","-1"
"os.spawnvpe","False","100.0","1","1","2","6","0","1","6","100.0","1","100.0","-1","-1","-1","-1"
"os._fspath","False","93.3","14","15","6","16","7","5","6","37.5","2","13.3","4","25.0","8","53.3"
