"full_name","is_generator","coverage_ratio","run_lines_count","executable_lines_count","total_tests","total_calls","total_exceptions","total_paths","top1_path_calls","top1_path_ratio","top1_path_run_lines","top1_path_run_lines_ratio","top2_path_calls","top2_path_ratio","top2_path_run_lines","top2_path_run_lines_ratio"
"smtplib.SMTP.__init__","False","83.3","20","24","21","85","7","6","54","63.5","11","45.8","16","18.8","16","66.7"
"smtplib.SMTP.connect","False","89.5","17","19","21","80","5","6","70","87.5","9","47.4","4","5.0","10","52.6"
"smtplib.SMTP._get_socket","False","100.0","6","6","21","79","3","3","73","92.4","4","66.7","4","5.1","5","83.3"
"smtplib.SMTP.getreply","False","77.4","24","31","21","274","2","5","196","71.5","17","54.8","72","26.3","18","58.1"
"smtplib.SMTP.close","False","100.0","9","9","13","101","0","2","77","76.2","9","100.0","24","23.8","7","77.8"
"smtplib.SMTPResponseException.__init__","False","100.0","3","3","2","4","0","1","4","100.0","3","100.0","-1","-1","-1","-1"
"smtplib.SMTP.quit","False","100.0","6","6","4","28","0","1","28","100.0","6","100.0","-1","-1","-1","-1"
"smtplib.SMTP.docmd","False","100.0","2","2","11","69","3","2","67","97.1","2","100.0","2","2.9","1","50.0"
"smtplib.SMTP.putcmd","False","100.0","8","8","19","189","8","4","111","58.7","4","50.0","75","39.7","4","50.0"
"smtplib.SMTP.send","False","66.7","8","12","19","205","8","4","181","88.3","7","58.3","16","7.8","6","50.0"
"smtplib.SMTP.ehlo","False","78.6","22","28","16","41","2","3","28","68.3","20","71.4","11","26.8","22","78.6"
"smtplib.SMTP.help","False","100.0","2","2","0","1","0","1","1","100.0","2","100.0","-1","-1","-1","-1"
"smtplib.SMTP.noop","False","100.0","1","1","6","7","0","1","7","100.0","1","100.0","-1","-1","-1","-1"
"smtplib.SMTP.rset","False","100.0","2","2","1","2","1","1","2","100.0","2","100.0","-1","-1","-1","-1"
"smtplib.SMTP.helo","False","100.0","4","4","0","2","0","1","2","100.0","4","100.0","-1","-1","-1","-1"
"smtplib.SMTP.sendmail","False","88.9","32","36","11","21","7","10","5","23.8","19","52.8","4","19.0","21","58.3"
"smtplib.SMTP.ehlo_or_helo_if_needed","False","40.0","2","5","13","40","1","2","31","77.5","2","40.0","9","22.5","1","20.0"
"smtplib._fix_eols","False","100.0","1","1","7","10","0","1","10","100.0","1","100.0","-1","-1","-1","-1"
"smtplib.SMTP.has_extn","False","100.0","1","1","13","40","0","1","40","100.0","1","100.0","-1","-1","-1","-1"
"smtplib.SMTP.mail","False","100.0","10","10","11","24","7","5","17","70.8","6","60.0","3","12.5","8","80.0"
"smtplib.quoteaddr","False","83.3","5","6","10","55","0","2","54","98.2","3","50.0","1","1.8","4","66.7"
"smtplib.SMTP.rcpt","False","80.0","4","5","8","27","1","2","26","96.3","4","80.0","1","3.7","3","60.0"
"smtplib.SMTP.data","False","76.5","13","17","6","16","0","2","14","87.5","13","76.5","2","12.5","12","70.6"
"smtplib._quote_periods","False","100.0","1","1","6","16","0","1","16","100.0","1","100.0","-1","-1","-1","-1"
"smtplib.SMTP.send_message","False","97.4","38","39","3","13","6","7","4","30.8","32","82.1","3","23.1","27","69.2"
"smtplib.SMTP.verify","False","100.0","2","2","0","6","0","1","6","100.0","2","100.0","-1","-1","-1","-1"
"smtplib._addr_only","False","75.0","3","4","0","9","0","1","9","100.0","3","75.0","-1","-1","-1","-1"
"smtplib.LMTP.__init__","False","66.7","2","3","2","12","2","1","12","100.0","2","66.7","-1","-1","-1","-1"
"smtplib.LMTP.connect","False","57.1","12","21","2","12","2","3","10","83.3","2","9.5","1","8.3","3","14.3"
"smtplib.quotedata","False","100.0","2","2","0","2","0","1","2","100.0","2","100.0","-1","-1","-1","-1"
"smtplib.SMTP.set_debuglevel","False","100.0","1","1","2","4","0","1","4","100.0","1","100.0","-1","-1","-1","-1"
"smtplib.SMTP._print_debug","False","100.0","3","3","2","16","0","2","8","50.0","2","66.7","8","50.0","2","66.7"
"smtplib.SMTP.__enter__","False","100.0","1","1","2","6","0","1","6","100.0","1","100.0","-1","-1","-1","-1"
"smtplib.SMTP.__exit__","False","100.0","7","7","2","6","3","3","3","50.0","4","57.1","2","33.3","5","71.4"
"smtplib.SMTP.auth","False","95.2","20","21","1","12","1","4","4","33.3","9","42.9","4","33.3","14","66.7"
"smtplib.SMTP.auth_plain","False","100.0","1","1","1","4","0","1","4","100.0","1","100.0","-1","-1","-1","-1"
"smtplib.SMTP.login","False","68.2","15","22","0","5","0","1","5","100.0","15","68.2","-1","-1","-1","-1"
"smtplib.SMTP.auth_cram_md5","False","100.0","4","4","1","6","0","2","3","50.0","2","50.0","3","50.0","3","75.0"
"smtplib.SMTP.auth_login","False","100.0","3","3","1","8","0","2","4","50.0","2","66.7","4","50.0","2","66.7"
"smtplib.SMTP.expn","False","100.0","2","2","0","3","0","1","3","100.0","2","100.0","-1","-1","-1","-1"
"smtplib.SMTPSenderRefused.__init__","False","100.0","4","4","2","2","0","1","2","100.0","4","100.0","-1","-1","-1","-1"
"smtplib.SMTPRecipientsRefused.__init__","False","100.0","2","2","1","1","0","1","1","100.0","2","100.0","-1","-1","-1","-1"
"smtplib.SMTP._rset","False","100.0","4","4","1","1","1","1","1","100.0","4","100.0","-1","-1","-1","-1"
