"full_name","is_generator","coverage_ratio","run_lines_count","executable_lines_count","total_tests","total_calls","total_exceptions","total_paths","top1_path_calls","top1_path_ratio","top1_path_run_lines","top1_path_run_lines_ratio","top2_path_calls","top2_path_ratio","top2_path_run_lines","top2_path_run_lines_ratio"
"configparser.RawConfigParser.__init__","False","85.7","30","35","66","516","3","10","274","53.1","21","60.0","78","15.1","22","62.9"
"configparser.ConverterMapping.__init__","False","100.0","7","7","66","516","0","1","516","100.0","7","100.0","-1","-1","-1","-1"
"configparser.SectionProxy.__init__","False","100.0","6","6","66","3410","0","1","3410","100.0","6","100.0","-1","-1","-1","-1"
"configparser.ConverterMapping.__iter__","False","100.0","1","1","66","3410","0","1","3410","100.0","1","100.0","-1","-1","-1","-1"
"configparser.ConverterMapping.__setitem__","False","100.0","14","14","22","37","2","3","35","94.6","10","71.4","1","2.7","4","28.6"
"configparser.RawConfigParser.__iter__","False","100.0","1","1","22","127","0","1","127","100.0","1","100.0","-1","-1","-1","-1"
"configparser.RawConfigParser.__getitem__","False","100.0","3","3","39","2741","126","2","2615","95.4","2","66.7","126","4.6","2","66.7"
"configparser.RawConfigParser.read_string","False","100.0","2","2","41","242","20","1","242","100.0","2","100.0","-1","-1","-1","-1"
"configparser.RawConfigParser.read_file","False","100.0","6","6","48","321","95","3","247","76.9","2","33.3","58","18.1","6","100.0"
"configparser.RawConfigParser._read","False","100.0","79","79","53","408","94","10","60","14.7","58","73.4","47","11.5","58","73.4"
"configparser.RawConfigParser.optionxform","False","100.0","1","1","60","27659","3","1","27659","100.0","1","100.0","-1","-1","-1","-1"
"configparser.RawConfigParser._join_multiline_values","False","100.0","10","10","51","380","0","3","366","96.3","10","100.0","13","3.4","9","90.0"
"configparser.Interpolation.before_read","False","100.0","1","1","50","2806","0","1","2806","100.0","1","100.0","-1","-1","-1","-1"
"configparser.ConverterMapping.__len__","False","100.0","1","1","2","6","0","1","6","100.0","1","100.0","-1","-1","-1","-1"
"configparser.ConverterMapping.__getitem__","False","100.0","1","1","5","31","5","1","31","100.0","1","100.0","-1","-1","-1","-1"
"configparser.RawConfigParser._get_conv","False","87.5","7","8","11","1274","765","4","622","48.8","6","75.0","509","40.0","3","37.5"
"configparser.RawConfigParser._get","False","100.0","1","1","11","1274","765","1","1274","100.0","1","100.0","-1","-1","-1","-1"
"configparser.RawConfigParser.get","False","100.0","17","17","48","4362","991","6","1959","44.9","8","47.1","1435","32.9","7","41.2"
"configparser.RawConfigParser._unify_values","False","100.0","13","13","48","4362","318","5","3988","91.4","6","46.2","189","4.3","8","61.5"
"configparser.BasicInterpolation.before_get","False","100.0","3","3","32","1093","12","2","1081","98.9","3","100.0","12","1.1","2","66.7"
"configparser.BasicInterpolation._interpolate_some","False","100.0","35","35","32","1212","52","10","1039","85.7","7","20.0","99","8.2","18","51.4"
"configparser.NoOptionError.__init__","False","140.0","7","5","38","1913","0","2","1183","61.8","2","40.0","730","38.2","5","100.0"
"configparser.RawConfigParser.has_section","False","100.0","1","1","31","2624","0","1","2624","100.0","1","100.0","-1","-1","-1","-1"
"configparser.SectionProxy.get","False","80.0","4","5","5","854","0","2","621","72.7","3","60.0","233","27.3","4","80.0"
"configparser.RawConfigParser.getboolean","False","66.7","2","3","6","537","84","1","537","100.0","2","66.7","-1","-1","-1","-1"
"configparser.RawConfigParser._convert_to_boolean","False","100.0","3","3","7","293","56","2","237","80.9","2","66.7","56","19.1","2","66.7"
"configparser.SectionProxy.__getitem__","False","100.0","3","3","27","604","38","2","576","95.4","2","66.7","28","4.6","2","66.7"
"configparser.RawConfigParser.has_option","False","100.0","8","8","27","1177","0","4","714","60.7","4","50.0","320","27.2","5","62.5"
"configparser.Interpolation.before_get","False","100.0","1","1","17","657","0","1","657","100.0","1","100.0","-1","-1","-1","-1"
"configparser.ConfigParser.add_section","False","100.0","2","2","18","2192","147","2","2187","99.8","2","100.0","5","0.2","1","50.0"
"configparser.RawConfigParser._validate_value_types","False","100.0","7","7","22","20876","41","5","20796","99.6","4","57.1","39","0.2","3","42.9"
"configparser.RawConfigParser.add_section","False","100.0","6","6","19","2299","160","3","2139","93.0","4","66.7","114","5.0","2","33.3"
"configparser.RawConfigParser.sections","False","100.0","1","1","9","226","0","1","226","100.0","1","100.0","-1","-1","-1","-1"
"configparser.RawConfigParser.items","False","94.1","16","17","17","110","9","5","38","34.5","2","11.8","30","27.3","9","52.9"
"configparser.SectionProxy.__len__","False","100.0","1","1","3","154","0","1","154","100.0","1","100.0","-1","-1","-1","-1"
"configparser.SectionProxy._options","False","100.0","3","3","10","520","0","2","416","80.0","2","66.7","104","20.0","2","66.7"
"configparser.RawConfigParser.options","False","100.0","6","6","12","501","15","2","486","97.0","4","66.7","15","3.0","4","66.7"
"configparser.SectionProxy.__iter__","False","100.0","1","1","10","366","0","1","366","100.0","1","100.0","-1","-1","-1","-1"
"configparser.RawConfigParser.__len__","False","100.0","1","1","3","29","0","1","29","100.0","1","100.0","-1","-1","-1","-1"
"configparser.RawConfigParser.defaults","False","100.0","1","1","10","132","0","1","132","100.0","1","100.0","-1","-1","-1","-1"
"configparser.RawConfigParser.getint","False","66.7","2","3","5","341","29","1","341","100.0","2","66.7","-1","-1","-1","-1"
"configparser.RawConfigParser.getfloat","False","66.7","2","3","4","348","28","1","348","100.0","2","66.7","-1","-1","-1","-1"
"configparser.NoSectionError.__init__","False","100.0","3","3","11","215","0","1","215","100.0","3","100.0","-1","-1","-1","-1"
"configparser.SectionProxy.__setitem__","False","100.0","2","2","4","71","1","1","71","100.0","2","100.0","-1","-1","-1","-1"
"configparser.ConfigParser.set","False","100.0","2","2","21","18613","70","2","18577","99.8","2","100.0","36","0.2","1","50.0"
"configparser.RawConfigParser.set","False","100.0","10","10","21","18755","42","5","18565","99.0","7","70.0","146","0.8","6","60.0"
"configparser.BasicInterpolation.before_set","False","100.0","6","6","13","18364","12","2","18352","99.9","4","66.7","12","0.1","5","83.3"
"configparser.RawConfigParser.remove_section","False","100.0","5","5","4","168","0","2","112","66.7","5","100.0","56","33.3","3","60.0"
"configparser.RawConfigParser.remove_option","False","100.0","11","11","8","290","29","5","93","32.1","8","72.7","84","29.0","7","63.6"
"configparser.RawConfigParser.__delitem__","False","100.0","5","5","4","140","56","3","84","60.0","3","60.0","28","20.0","3","60.0"
"configparser.RawConfigParser.__contains__","False","100.0","1","1","8","158","0","1","158","100.0","1","100.0","-1","-1","-1","-1"
"configparser.SectionProxy.__delitem__","False","100.0","3","3","7","163","84","3","79","48.5","2","66.7","56","34.4","2","66.7"
"configparser.SectionProxy.__contains__","False","100.0","1","1","7","200","0","1","200","100.0","1","100.0","-1","-1","-1","-1"
"configparser.RawConfigParser.read_dict","False","100.0","17","17","14","237","143","7","109","46.0","15","88.2","66","27.8","13","76.5"
"configparser.ConfigParser._read_defaults","False","100.0","5","5","8","85","0","1","85","100.0","5","100.0","-1","-1","-1","-1"
"configparser.Interpolation.before_set","False","100.0","1","1","14","303","0","1","303","100.0","1","100.0","-1","-1","-1","-1"
"configparser.RawConfigParser.__setitem__","False","100.0","7","7","3","126","0","4","56","44.4","4","57.1","28","22.2","5","71.4"
"configparser.RawConfigParser.popitem","False","100.0","5","5","2","84","28","2","56","66.7","4","80.0","28","33.3","2","40.0"
"configparser.InterpolationDepthError.__init__","False","180.0","9","5","13","67","0","2","52","77.6","4","80.0","15","22.4","5","100.0"
"configparser.InterpolationMissingOptionError.__init__","False","100.0","5","5","6","18","0","1","18","100.0","5","100.0","-1","-1","-1","-1"
"configparser.RawConfigParser._handle_error","False","100.0","4","4","3","66","0","1","66","100.0","4","100.0","-1","-1","-1","-1"
"configparser.ParsingError.__init__","False","100.0","10","10","5","83","2","4","79","95.2","7","70.0","2","2.4","8","80.0"
"configparser.ParsingError.append","False","100.0","2","2","4","72","0","1","72","100.0","2","100.0","-1","-1","-1","-1"
"configparser.MissingSectionHeaderError.__init__","False","100.0","8","8","3","24","0","1","24","100.0","8","100.0","-1","-1","-1","-1"
"configparser.RawConfigParser.read","False","100.0","14","14","5","111","50","8","25","22.5","12","85.7","25","22.5","11","78.6"
"configparser.DuplicateSectionError.__init__","False","100.0","14","14","6","58","0","2","46","79.3","8","57.1","12","20.7","13","92.9"
"configparser.Error.__repr__","False","100.0","1","1","15","169","0","1","169","100.0","1","100.0","-1","-1","-1","-1"
"configparser.RawConfigParser.write","False","100.0","9","9","3","48","0","3","20","41.7","6","66.7","14","29.2","8","88.9"
"configparser.RawConfigParser._write_section","False","100.0","9","9","3","1889","0","2","1887","99.9","8","88.9","2","0.1","8","88.9"
"configparser.Interpolation.before_write","False","100.0","1","1","3","18092","0","1","18092","100.0","1","100.0","-1","-1","-1","-1"
"configparser.ExtendedInterpolation.before_get","False","100.0","3","3","17","162","9","2","153","94.4","3","100.0","9","5.6","2","66.7"
"configparser.ExtendedInterpolation._interpolate_some","False","100.0","47","47","17","188","29","10","134","71.3","7","14.9","12","6.4","25","53.2"
"configparser.ExtendedInterpolation.before_set","False","100.0","6","6","10","41","1","2","40","97.6","4","66.7","1","2.4","5","83.3"
"configparser.DuplicateOptionError.__init__","False","100.0","16","16","7","16","0","3","11","68.8","15","93.8","4","25.0","14","87.5"
"configparser.RawConfigParser.items.<locals>.<lambda>","False","NA","1","0","5","41","0","1","41","100.0","1","NA","-1","-1","-1","-1"
"configparser.LegacyInterpolation.before_get","False","100.0","17","17","15","141","3","6","131","92.9","8","47.1","6","4.3","13","76.5"
"configparser.LegacyInterpolation.before_set","False","100.0","1","1","9","45","0","1","45","100.0","1","100.0","-1","-1","-1","-1"
"configparser.ConverterMapping.__delitem__","False","100.0","10","10","2","5","4","4","2","40.0","4","40.0","1","20.0","6","60.0"
"configparser.RawConfigParser.readfp","False","100.0","4","4","1","1","0","1","1","100.0","4","100.0","-1","-1","-1","-1"
"configparser.SafeConfigParser.__init__","False","100.0","4","4","1","1","0","1","1","100.0","4","100.0","-1","-1","-1","-1"
"configparser.SectionProxy.__repr__","False","100.0","1","1","1","1","0","1","1","100.0","1","100.0","-1","-1","-1","-1"
"configparser.RawConfigParser._read_defaults","False","100.0","2","2","8","37","3","1","37","100.0","2","100.0","-1","-1","-1","-1"
