"pos","call_count","call_ratio","run_count","not_run_count"
"1","35","46.7","6","19"
"2","13","17.3","20","5"
"3","11","14.7","19","6"
"4","4","5.3","17","8"
"5","3","4.0","20","5"
"6","2","2.7","23","2"
"7","2","2.7","9","16"
"8","1","1.3","21","4"
"9","1","1.3","18","7"
"10","1","1.3","23","2"
