"full_name","is_generator","coverage_ratio","run_lines_count","executable_lines_count","total_tests","total_calls","total_exceptions","total_paths","top1_path_calls","top1_path_ratio","top1_path_run_lines","top1_path_run_lines_ratio","top2_path_calls","top2_path_ratio","top2_path_run_lines","top2_path_run_lines_ratio"
"pathlib._Flavour.__init__","False","100.0","1","1","0","2","0","1","2","100.0","1","100.0","-1","-1","-1","-1"
"pathlib._Flavour.parse_parts","False","100.0","32","32","17","4457","0","10","1286","28.9","16","50.0","690","15.5","17","53.1"
"pathlib._PosixFlavour.splitroot","False","100.0","6","6","14","3972","0","3","2845","71.6","2","33.3","1097","27.6","4","66.7"
"pathlib.PurePath.__str__","False","100.0","6","6","91","20726","18766","2","18766","90.5","6","100.0","1960","9.5","2","33.3"
"pathlib.PurePath.__rtruediv__","False","100.0","4","4","2","5","1","2","4","80.0","2","50.0","1","20.0","4","100.0"
"pathlib.PurePath.__truediv__","False","100.0","4","4","51","607","2","2","605","99.7","2","50.0","2","0.3","4","100.0"
"pathlib.PurePath._make_child","False","100.0","4","4","54","636","2","2","634","99.7","4","100.0","2","0.3","1","25.0"
"pathlib._WindowsFlavour.splitroot","False","100.0","27","27","8","1351","0","10","611","45.2","10","37.0","232","17.2","12","44.4"
"pathlib._WindowsFlavour._split_extended_path","False","100.0","8","8","5","149","0","3","137","91.9","3","37.5","8","5.4","6","75.0"
"pathlib._Flavour.join_parsed_parts","False","100.0","8","8","53","634","0","5","602","95.0","3","37.5","22","3.5","3","37.5"
"pathlib.Path.stat","False","100.0","1","1","56","7261","274","1","7261","100.0","1","100.0","-1","-1","-1","-1"
"pathlib.PurePath.__fspath__","False","100.0","1","1","72","19689","0","1","19689","100.0","1","100.0","-1","-1","-1","-1"
"pathlib.Path.chmod","False","100.0","1","1","4","14","0","1","14","100.0","1","100.0","-1","-1","-1","-1"
"pathlib.Path.resolve","False","81.2","13","16","11","99","31","6","56","56.6","8","50.0","19","19.2","10","62.5"
"pathlib.PurePath.__eq__","False","100.0","3","3","46","7461","0","2","7449","99.8","2","66.7","12","0.2","2","66.7"
"pathlib._PosixFlavour.casefold_parts","False","100.0","1","1","2","8088","0","1","8088","100.0","1","100.0","-1","-1","-1","-1"
"pathlib.PurePath.is_absolute","False","100.0","3","3","8","69","0","2","46","66.7","2","66.7","23","33.3","2","66.7"
"pathlib.Path.exists","False","100.0","9","9","18","6290","148","4","6142","97.6","3","33.3","130","2.1","5","55.6"
"pathlib._ignore_error","False","100.0","2","2","17","202","0","2","192","95.0","1","50.0","10","5.0","2","100.0"
"pathlib.Path.expanduser","False","100.0","7","7","2","30","2","4","14","46.7","5","71.4","8","26.7","3","42.9"
"pathlib.Path.absolute","False","100.0","3","3","2","4","0","2","2","50.0","2","66.7","2","50.0","2","66.7"
"pathlib.Path.glob","True","88.9","8","9","5","227","1","3","221","97.4","7","77.8","5","2.2","6","66.7"
"pathlib._is_wildcard_pattern","False","100.0","1","1","0","48","0","1","48","100.0","1","100.0","-1","-1","-1","-1"
"pathlib._PreciseSelector.__init__","False","300.0","6","2","0","68","0","3","46","67.6","2","100.0","12","17.6","4","200.0"
"pathlib._Selector.select_from","False","85.7","6","7","7","445","0","1","445","100.0","6","85.7","-1","-1","-1","-1"
"pathlib.Path.is_dir","False","87.5","7","8","18","570","11","3","559","98.1","2","25.0","7","1.2","5","62.5"
"pathlib._PreciseSelector._select_from","True","100.0","7","7","4","6083","210","5","5826","95.8","5","71.4","200","3.3","6","85.7"
"pathlib.Path._make_child_relpath","False","100.0","2","2","12","18133","0","1","18133","100.0","2","100.0","-1","-1","-1","-1"
"pathlib._TerminatingSelector._select_from","True","100.0","1","1","7","6316","200","1","6316","100.0","1","100.0","-1","-1","-1","-1"
"pathlib.PurePath.__hash__","False","100.0","5","5","11","12422","6388","2","6388","51.4","5","100.0","6034","48.6","2","40.0"
"pathlib._WildcardSelector.__init__","False","100.0","2","2","0","38","0","1","38","100.0","2","100.0","-1","-1","-1","-1"
"pathlib._PosixFlavour.compile_pattern","False","100.0","1","1","0","38","0","1","38","100.0","1","100.0","-1","-1","-1","-1"
"pathlib._WildcardSelector._select_from","True","94.7","18","19","7","6090","20","10","5802","95.3","12","63.2","243","4.0","10","52.6"
"pathlib.Path.mkdir","False","100.0","10","10","10","490","316","5","192","39.2","6","60.0","174","35.5","2","20.0"
"pathlib.Path.rglob","True","85.7","6","7","4","219","200","2","216","98.6","6","85.7","3","1.4","5","71.4"
"pathlib._RecursiveWildcardSelector.__init__","False","100.0","1","1","0","10","0","1","10","100.0","1","100.0","-1","-1","-1","-1"
"pathlib._RecursiveWildcardSelector._select_from","True","91.7","11","12","4","219","200","3","200","91.3","11","91.7","16","7.3","10","83.3"
"pathlib._RecursiveWildcardSelector._iterate_directories","True","94.1","16","17","4","6085","6025","7","5800","95.3","13","76.5","200","3.3","1","5.9"
"pathlib.Path.touch","False","100.0","1","1","4","17","2","1","17","100.0","1","100.0","-1","-1","-1","-1"
"pathlib._NormalAccessor.touch","False","100.0","11","11","4","17","11","4","9","52.9","9","81.8","4","23.5","4","36.4"
"pathlib.Path.symlink_to","False","100.0","1","1","2","8","0","1","8","100.0","1","100.0","-1","-1","-1","-1"
"pathlib.Path.group","False","100.0","1","1","1","2","0","1","2","100.0","1","100.0","-1","-1","-1","-1"
"pathlib._NormalAccessor.group","False","60.0","3","5","1","2","0","1","2","100.0","3","60.0","-1","-1","-1","-1"
"pathlib.Path.hardlink_to","False","100.0","1","1","1","4","0","1","4","100.0","1","100.0","-1","-1","-1","-1"
"pathlib.Path.is_block_device","False","87.5","7","8","3","19","9","3","10","52.6","2","25.0","5","26.3","5","62.5"
"pathlib.Path.is_char_device","False","87.5","7","8","3","23","13","3","10","43.5","2","25.0","8","34.8","5","62.5"
"pathlib.Path.is_file","False","87.5","7","8","6","37","19","3","18","48.6","2","25.0","12","32.4","5","62.5"
"pathlib.Path.is_fifo","False","87.5","7","8","4","25","13","3","12","48.0","2","25.0","8","32.0","5","62.5"
"pathlib.Path.is_socket","False","87.5","7","8","4","25","13","3","12","48.0","2","25.0","8","32.0","5","62.5"
"pathlib.Path.is_mount","False","75.0","9","12","1","16","0","2","12","75.0","2","16.7","4","25.0","8","66.7"
"pathlib.Path.is_symlink","False","62.5","5","8","2","19","5","2","14","73.7","2","25.0","5","26.3","5","62.5"
"pathlib.Path.lstat","False","100.0","1","1","5","29","5","1","29","100.0","1","100.0","-1","-1","-1","-1"
"pathlib.Path.iterdir","True","75.0","3","4","6","14","6","2","12","85.7","3","75.0","2","14.3","1","25.0"
"pathlib.Path.link_to","False","100.0","3","3","1","4","0","1","4","100.0","3","100.0","-1","-1","-1","-1"
"pathlib.Path.open","False","80.0","4","5","6","38","0","2","22","57.9","3","60.0","16","42.1","4","80.0"
"pathlib.Path.owner","False","100.0","1","1","1","2","0","1","2","100.0","1","100.0","-1","-1","-1","-1"
"pathlib._NormalAccessor.owner","False","60.0","3","5","1","2","0","1","2","100.0","3","60.0","-1","-1","-1","-1"
"pathlib.PurePath.__reduce__","False","100.0","1","1","2","36","0","1","36","100.0","1","100.0","-1","-1","-1","-1"
"pathlib.Path.write_bytes","False","100.0","3","3","1","4","2","2","2","50.0","3","100.0","2","50.0","1","33.3"
"pathlib.Path.read_bytes","False","100.0","2","2","2","12","0","1","12","100.0","2","100.0","-1","-1","-1","-1"
