"full_name","is_generator","coverage_ratio","run_lines_count","executable_lines_count","total_tests","total_calls","total_exceptions","total_paths","top1_path_calls","top1_path_ratio","top1_path_run_lines","top1_path_run_lines_ratio","top2_path_calls","top2_path_ratio","top2_path_run_lines","top2_path_run_lines_ratio"
"jupyter_client.session.new_id_bytes","False","100.0","1","1","0","1","0","1","1","100.0","1","100.0","-1","-1","-1","-1"
"jupyter_client.session.new_id","False","100.0","2","2","0","1","0","1","1","100.0","2","100.0","-1","-1","-1","-1"
"jupyter_client.localinterfaces._only_once","False","37.5","3","8","0","1","0","1","1","100.0","3","37.5","-1","-1","-1","-1"
"jupyter_client.localinterfaces._requires_ips","False","50.0","2","4","0","5","0","1","5","100.0","2","50.0","-1","-1","-1","-1"
"jupyter_client.client.reqrep","False","91.7","11","12","0","15","0","2","8","53.3","9","75.0","7","46.7","11","91.7"
"jupyter_client.asynchronous.client.wrapped","False","25.0","2","8","0","8","0","1","8","100.0","2","25.0","-1","-1","-1","-1"
"jupyter_client.blocking.client.wrapped","False","25.0","2","8","0","7","0","1","7","100.0","2","25.0","-1","-1","-1","-1"
"jupyter_client.manager.in_pending_state","False","26.7","4","15","0","2","0","1","2","100.0","4","26.7","-1","-1","-1","-1"
"jupyter_client.multikernelmanager.kernel_method","False","50.0","5","10","0","13","0","1","13","100.0","5","50.0","-1","-1","-1","-1"
"jupyter_client.session.Session.__init__","False","77.8","7","9","15","58","7","3","51","87.9","7","77.8","5","8.6","2","22.2"
"jupyter_client.session.json_packer","False","100.0","18","18","17","221","2","3","219","99.1","7","38.9","1","0.5","9","50.0"
"jupyter_client.session.json_unpacker","False","100.0","3","3","6","140","0","1","140","100.0","3","100.0","-1","-1","-1","-1"
"jupyter_client.session.utcnow","False","100.0","1","1","39","4199","0","1","4199","100.0","1","100.0","-1","-1","-1","-1"
"jupyter_client.jsonutil.json_default","False","100.0","12","12","0","80","1","6","73","91.2","3","25.0","3","3.8","4","33.3"
"jupyter_client.jsonutil._ensure_tzinfo","False","100.0","7","7","15","114","0","2","111","97.4","2","28.6","3","2.6","7","100.0"
"jupyter_client.session.Session.msg","False","64.7","11","17","37","49","0","2","45","91.8","10","58.8","4","8.2","11","64.7"
"jupyter_client.session.Session.msg_header","False","100.0","1","1","38","4143","0","1","4143","100.0","1","100.0","-1","-1","-1","-1"
"jupyter_client.session.msg_header","False","100.0","3","3","38","4143","0","1","4143","100.0","3","100.0","-1","-1","-1","-1"
"jupyter_client.adapter.adapt","False","90.9","10","11","33","41","0","4","15","36.6","8","72.7","13","31.7","8","72.7"
"jupyter_client.adapter.Adapter.__call__","False","90.0","9","10","24","28","0","2","19","67.9","8","80.0","9","32.1","7","70.0"
"jupyter_client.adapter.V4toV5.update_header","False","75.0","3","4","13","15","0","1","15","100.0","3","75.0","-1","-1","-1","-1"
"jupyter_client.adapter.Adapter.update_metadata","False","100.0","1","1","24","28","0","1","28","100.0","1","100.0","-1","-1","-1","-1"
"jupyter_client.adapter.Adapter.update_msg_type","False","100.0","5","5","24","28","0","2","16","57.1","4","80.0","12","42.9","5","100.0"
"jupyter_client.adapter.code_to_line","False","100.0","8","8","4","6","0","3","3","50.0","7","87.5","2","33.3","6","75.0"
"jupyter_client.adapter.V4toV5.complete_reply","False","88.9","8","9","1","1","0","1","1","100.0","8","88.9","-1","-1","-1","-1"
"jupyter_client.adapter.V4toV5.complete_request","False","100.0","5","5","1","1","0","1","1","100.0","5","100.0","-1","-1","-1","-1"
"jupyter_client.adapter.V4toV5.display_data","False","77.8","7","9","1","1","0","1","1","100.0","7","77.8","-1","-1","-1","-1"
"jupyter_client.adapter.V4toV5.execute_reply","False","100.0","11","11","1","1","0","1","1","100.0","11","100.0","-1","-1","-1","-1"
"jupyter_client.adapter.V4toV5.execute_request","False","100.0","6","6","1","1","0","1","1","100.0","6","100.0","-1","-1","-1","-1"
"jupyter_client.adapter.V4toV5.input_request","False","100.0","2","2","1","1","0","1","1","100.0","2","100.0","-1","-1","-1","-1"
