"full_name","is_generator","coverage_ratio","run_lines_count","executable_lines_count","total_tests","total_calls","total_exceptions","total_paths","top1_path_calls","top1_path_ratio","top1_path_run_lines","top1_path_run_lines_ratio","top2_path_calls","top2_path_ratio","top2_path_run_lines","top2_path_run_lines_ratio"
"rich.palette.Palette.__init__","False","100.0","1","1","0","8","0","1","8","100.0","1","100.0","-1","-1","-1","-1"
"rich.terminal_theme.TerminalTheme.__init__","False","37.5","3","8","0","5","0","1","5","100.0","3","37.5","-1","-1","-1","-1"
"rich.style._Bit.__init__","False","100.0","1","1","0","13","0","1","13","100.0","1","100.0","-1","-1","-1","-1"
"rich.style.Style.__init__","False","71.0","44","62","82","1147","0","2","693","60.4","30","48.4","454","39.6","43","69.4"
"rich.style.Style.__init__.<locals>._make_color","False","100.0","1","1","43","1243","0","1","1243","100.0","1","100.0","-1","-1","-1","-1"
"rich.theme.Theme.__init__","False","71.4","5","7","15","26","0","1","26","100.0","5","71.4","-1","-1","-1","-1"
"rich.highlighter._combine_regex","False","100.0","1","1","0","2","0","1","2","100.0","1","100.0","-1","-1","-1","-1"
"rich.box.Box.__init__","False","100.0","22","22","0","19","0","1","19","100.0","22","100.0","-1","-1","-1","-1"
"rich.console.group","False","44.4","4","9","2","4","0","1","4","100.0","4","44.4","-1","-1","-1","-1"
"rich.console.Console.__init__","False","69.9","72","103","287","335","0","10","90","26.9","54","52.4","51","15.2","52","50.5"
"rich.console._is_jupyter","False","28.6","4","14","278","322","322","1","322","100.0","4","28.6","-1","-1","-1","-1"
"rich.console.detect_legacy_windows","False","100.0","1","1","204","232","0","1","232","100.0","1","100.0","-1","-1","-1","-1"
"rich._log_render.LogRender.__init__","False","50.0","7","14","287","340","0","1","340","100.0","7","50.0","-1","-1","-1","-1"
"rich.theme.ThemeStack.__init__","False","100.0","2","2","288","336","0","1","336","100.0","2","100.0","-1","-1","-1","-1"
"rich.logging.RichHandler.__init__","False","51.2","22","43","4","5","0","1","5","100.0","22","51.2","-1","-1","-1","-1"
"rich.panel.Panel.__init__","False","48.3","14","29","25","69","0","1","69","100.0","14","48.3","-1","-1","-1","-1"
"rich.align.Align.__init__","False","61.9","13","21","22","44","5","3","39","88.6","9","42.9","4","9.1","3","14.3"
"rich.align.Align.__repr__","False","100.0","1","1","1","3","0","1","3","100.0","1","100.0","-1","-1","-1","-1"
"rich.console.Console._detect_color_system","False","63.2","12","19","193","235","0","4","190","80.9","3","15.8","30","12.8","9","47.4"
"rich.console.Console.print","False","76.1","51","67","195","425","1","10","275","64.7","35","52.2","110","25.9","36","53.7"
"rich.console.Console.__enter__","False","100.0","2","2","207","624","0","1","624","100.0","2","100.0","-1","-1","-1","-1"
"rich.console.Console._enter_buffer","False","100.0","1","1","212","687","0","1","687","100.0","1","100.0","-1","-1","-1","-1"
"rich.console.Console._collect_renderables","False","71.1","32","45","199","431","0","10","302","70.1","20","44.4","79","18.3","19","42.2"
"rich.protocol.rich_cast","False","100.0","12","12","202","5715","0","4","5676","99.3","4","33.3","37","0.6","10","83.3"
"rich.console.Console._collect_renderables.<locals>.check_text","False","100.0","4","4","199","742","0","2","622","83.8","1","25.0","120","16.2","4","100.0"
"rich.console.ConsoleOptions.update","False","68.8","22","32","201","1409","0","10","586","41.6","17","53.1","406","28.8","18","56.2"
"rich.console.ConsoleOptions.copy","False","100.0","3","3","210","5215","0","1","5215","100.0","3","100.0","-1","-1","-1","-1"
"rich.console.Console.render","True","92.0","23","25","201","2796","28","9","1864","66.7","12","48.0","424","15.2","15","60.0"
"rich.console.ConsoleOptions.reset_height","False","100.0","3","3","198","2747","0","1","2747","100.0","3","100.0","-1","-1","-1","-1"
"rich.align.Align.__rich_console__","True","52.1","37","71","18","26","4","6","15","57.7","22","31.0","6","23.1","29","40.8"
"rich.console.Console.measure","False","50.0","2","4","36","54","0","1","54","100.0","2","50.0","-1","-1","-1","-1"
