"pos","call_count","call_ratio","run_count","not_run_count"
"1","70","35.9","4","21"
"2","58","29.7","17","8"
"3","20","10.3","5","20"
"4","19","9.7","16","9"
"5","14","7.2","16","9"
"6","7","3.6","14","11"
"7","2","1.0","3","22"
"8","1","0.5","16","9"
"9","1","0.5","4","21"
"10","1","0.5","13","12"
