"full_name","is_generator","coverage_ratio","run_lines_count","executable_lines_count","total_tests","total_calls","total_exceptions","total_paths","top1_path_calls","top1_path_ratio","top1_path_run_lines","top1_path_run_lines_ratio","top2_path_calls","top2_path_ratio","top2_path_run_lines","top2_path_run_lines_ratio"
"email.charset.Charset.__init__","False","94.7","18","19","87","193","1","3","158","81.9","16","84.2","34","17.6","15","78.9"
"email._policybase._append_doc","False","100.0","3","3","0","13","0","1","13","100.0","3","100.0","-1","-1","-1","-1"
"email._policybase._PolicyBase.__init__","False","50.0","3","6","8","24","0","2","15","62.5","3","50.0","9","37.5","1","16.7"
"email.contentmanager.ContentManager.__init__","False","100.0","2","2","8","35","0","1","35","100.0","2","100.0","-1","-1","-1","-1"
"email.contentmanager.ContentManager.add_get_handler","False","100.0","1","1","2","17","0","1","17","100.0","1","100.0","-1","-1","-1","-1"
"email.contentmanager.ContentManager.add_set_handler","False","100.0","1","1","3","36","0","1","36","100.0","1","100.0","-1","-1","-1","-1"
"email.headerregistry.HeaderRegistry.__init__","False","83.3","5","6","16","34","0","2","33","97.1","5","83.3","1","2.9","4","66.7"
"email.policy.EmailPolicy.__init__","False","100.0","3","3","8","23","0","1","23","100.0","3","100.0","-1","-1","-1","-1"
"email._policybase._PolicyBase.clone","False","70.0","7","10","137","662","0","4","395","59.7","7","70.0","263","39.7","6","60.0"
"email.message.MIMEPart.__init__","False","100.0","4","4","122","1191","0","2","1069","89.8","2","50.0","122","10.2","4","100.0"
"email.message.Message.__init__","False","100.0","8","8","447","2356","0","1","2356","100.0","8","100.0","-1","-1","-1","-1"
"email.headerregistry.HeaderRegistry.__call__","False","100.0","1","1","186","5486","0","1","5486","100.0","1","100.0","-1","-1","-1","-1"
"email.headerregistry.HeaderRegistry.__getitem__","False","100.0","2","2","186","6427","0","1","6427","100.0","2","100.0","-1","-1","-1","-1"
"email._header_value_parser.get_unstructured","False","100.0","34","34","22","510","3","10","282","55.3","12","35.3","117","22.9","22","64.7"
"email._header_value_parser.TokenList.__init__","False","100.0","2","2","128","45189","0","1","45189","100.0","2","100.0","-1","-1","-1","-1"
"email._header_value_parser._validate_xtext","False","100.0","6","6","57","19704","0","3","19652","99.7","3","50.0","36","0.2","4","66.7"
"email.utils._has_surrogates","False","100.0","5","5","400","32846","216","2","32630","99.3","3","60.0","216","0.7","4","80.0"
