"full_name","is_generator","coverage_ratio","run_lines_count","executable_lines_count","total_tests","total_calls","total_exceptions","total_paths","top1_path_calls","top1_path_ratio","top1_path_run_lines","top1_path_run_lines_ratio","top2_path_calls","top2_path_ratio","top2_path_run_lines","top2_path_run_lines_ratio"
"imaplib.IMAP4_SSL.__init__","False","187.5","30","16","48","162","29","6","87","53.7","13","81.2","51","31.5","10","62.5"
"imaplib.IMAP4._mode_ascii","False","100.0","4","4","48","106","0","1","106","100.0","4","100.0","-1","-1","-1","-1"
"imaplib.IMAP4_SSL.open","False","500.0","5","1","47","160","10","3","99","61.9","4","400.0","55","34.4","1","100.0"
"imaplib.IMAP4_SSL._create_socket","False","366.7","11","3","47","160","7","5","99","61.9","6","200.0","54","33.8","3","100.0"
"imaplib.IMAP4._connect","False","74.1","20","27","46","99","13","3","86","86.9","20","74.1","9","9.1","10","37.0"
"imaplib.Int2AP","False","100.0","6","6","46","99","0","1","99","100.0","6","100.0","-1","-1","-1","-1"
"imaplib.IMAP4._get_response","False","75.0","30","40","46","459","13","7","224","48.8","16","40.0","154","33.6","12","30.0"
"imaplib.IMAP4._get_line","False","81.8","9","11","46","459","13","3","446","97.2","8","72.7","8","1.7","4","36.4"
"imaplib.IMAP4.readline","False","100.0","4","4","46","459","5","3","454","98.9","3","75.0","4","0.9","3","75.0"
"imaplib.IMAP4.shutdown","False","75.0","6","8","30","99","12","2","87","87.9","4","50.0","12","12.1","6","75.0"
"imaplib.IMAP4._log","False","100.0","4","4","42","660","0","2","648","98.2","3","75.0","12","1.8","4","100.0"
"imaplib.IMAP4._match","False","80.0","4","5","42","1314","0","1","1314","100.0","4","80.0","-1","-1","-1","-1"
"imaplib.IMAP4._append_untagged","False","70.0","7","10","42","258","0","2","244","94.6","6","60.0","14","5.4","7","70.0"
"imaplib.IMAP4._get_capabilities","False","83.3","5","6","42","90","4","2","86","95.6","5","83.3","4","4.4","1","16.7"
"imaplib.IMAP4.capability","False","100.0","3","3","42","90","4","2","86","95.6","3","100.0","4","4.4","2","66.7"
"imaplib.IMAP4._simple_command","False","100.0","1","1","42","218","8","1","218","100.0","1","100.0","-1","-1","-1","-1"
"imaplib.IMAP4._command","False","84.9","45","53","42","218","4","8","92","42.2","18","34.0","42","19.3","17","32.1"
"imaplib.IMAP4._new_tag","False","100.0","4","4","42","214","0","1","214","100.0","4","100.0","-1","-1","-1","-1"
"imaplib.IMAP4.send","False","100.0","2","2","42","290","0","1","290","100.0","2","100.0","-1","-1","-1","-1"
"imaplib.IMAP4._command_complete","False","78.6","11","14","42","214","4","3","168","78.5","9","64.3","42","19.6","7","50.0"
"imaplib.IMAP4._check_bye","False","66.7","2","3","42","624","0","1","624","100.0","2","66.7","-1","-1","-1","-1"
"imaplib.IMAP4._get_tagged_response","False","94.4","17","18","42","214","4","4","130","60.7","9","50.0","42","19.6","11","61.1"
"imaplib.IMAP4._untagged_response","False","66.7","6","9","40","92","0","1","92","100.0","6","66.7","-1","-1","-1","-1"
"imaplib.IMAP4.authenticate","False","100.0","7","7","17","38","12","2","26","68.4","6","85.7","12","31.6","5","71.4"
"imaplib._Authenticator.__init__","False","100.0","1","1","17","38","0","1","38","100.0","1","100.0","-1","-1","-1","-1"
"imaplib._Authenticator.process","False","100.0","4","4","15","34","0","2","30","88.2","3","75.0","4","11.8","3","75.0"
"imaplib._Authenticator.decode","False","100.0","3","3","15","34","0","2","26","76.5","2","66.7","8","23.5","2","66.7"
"imaplib._Authenticator.encode","False","84.6","11","13","13","30","0","2","18","60.0","10","76.9","12","40.0","11","84.6"
"imaplib.IMAP4.enable","False","100.0","6","6","10","20","12","3","8","40.0","5","83.3","8","40.0","2","33.3"
"imaplib.IMAP4._mode_utf8","False","100.0","4","4","4","8","0","1","8","100.0","4","100.0","-1","-1","-1","-1"
"imaplib.IMAP4.append","False","80.0","12","15","2","4","0","1","4","100.0","12","80.0","-1","-1","-1","-1"
"imaplib.IMAP4.login","False","80.0","4","5","10","20","0","1","20","100.0","4","80.0","-1","-1","-1","-1"
"imaplib.IMAP4._quote","False","100.0","3","3","10","20","0","1","20","100.0","3","100.0","-1","-1","-1","-1"
"imaplib.IMAP4.login_cram_md5","False","100.0","2","2","3","8","0","1","8","100.0","2","100.0","-1","-1","-1","-1"
"imaplib.IMAP4._CRAM_MD5_AUTH","False","100.0","4","4","3","8","0","2","4","50.0","4","100.0","4","50.0","3","75.0"
"imaplib.IMAP4.logout","False","100.0","4","4","19","42","0","1","42","100.0","4","100.0","-1","-1","-1","-1"
"imaplib.IMAP4.lsub","False","100.0","3","3","1","2","0","1","2","100.0","3","100.0","-1","-1","-1","-1"
"imaplib.IMAP4.search","False","57.1","4","7","2","4","4","1","4","100.0","4","57.1","-1","-1","-1","-1"
"imaplib.IMAP4.__enter__","False","100.0","1","1","7","14","0","1","14","100.0","1","100.0","-1","-1","-1","-1"
"imaplib.IMAP4.__exit__","False","66.7","4","6","7","14","0","2","10","71.4","3","50.0","4","28.6","2","33.3"
"imaplib.IMAP4.select","False","52.9","9","17","2","6","0","1","6","100.0","9","52.9","-1","-1","-1","-1"
"imaplib.IMAP4.unselect","False","100.0","4","4","1","2","0","1","2","100.0","4","100.0","-1","-1","-1","-1"
"imaplib.Internaldate2tuple","False","94.4","17","18","1","5","0","2","4","80.0","16","88.9","1","20.0","17","94.4"
"imaplib.Time2Internaldate","False","91.7","22","24","1","14","4","7","4","28.6","5","20.8","2","14.3","8","33.3"
"imaplib.IMAP4.store","False","100.0","4","4","1","2","0","1","2","100.0","4","100.0","-1","-1","-1","-1"
"imaplib.IMAP4.response","False","100.0","1","1","1","2","0","1","2","100.0","1","100.0","-1","-1","-1","-1"
"imaplib.IMAP4._dump_ur","False","80.0","4","5","1","2","0","1","2","100.0","4","80.0","-1","-1","-1","-1"
