"full_name","is_generator","coverage_ratio","run_lines_count","executable_lines_count","total_tests","total_calls","total_exceptions","total_paths","top1_path_calls","top1_path_ratio","top1_path_run_lines","top1_path_run_lines_ratio","top2_path_calls","top2_path_ratio","top2_path_run_lines","top2_path_run_lines_ratio"
"collections.namedtuple","False","86.8","92","106","19","55","11","10","18","32.7","70","66.0","9","16.4","69","65.1"
"collections.abc.Mapping.get","False","100.0","4","4","0","2","2","1","2","100.0","4","100.0","-1","-1","-1","-1"
"collections.abc.Mapping.__contains__","False","100.0","5","5","1","273","1","2","272","99.6","3","60.0","1","0.4","4","80.0"
"collections.TestNT.__getnewargs__","False","100.0","1","1","2","13","0","1","13","100.0","1","100.0","-1","-1","-1","-1"
"collections.Point.__repr__","False","100.0","1","1","4","13","0","1","13","100.0","1","100.0","-1","-1","-1","-1"
"collections.Point._replace","False","100.0","4","4","3","8","1","2","7","87.5","3","75.0","1","12.5","3","75.0"
"collections.Point._asdict","False","100.0","1","1","4","8","0","1","8","100.0","1","100.0","-1","-1","-1","-1"
"collections.Counter.__init__","False","100.0","2","2","22","33121","1","1","33121","100.0","2","100.0","-1","-1","-1","-1"
"collections.Counter.update","False","100.0","10","10","22","41168","2","6","24720","60.0","2","20.0","8313","20.2","5","50.0"
"collections.Counter.most_common","False","100.0","4","4","3","55","1","2","46","83.6","2","50.0","9","16.4","3","75.0"
"collections.Counter.elements","False","100.0","1","1","5","8802","0","1","8802","100.0","1","100.0","-1","-1","-1","-1"
"collections.Counter.__missing__","False","100.0","1","1","10","73154","0","1","73154","100.0","1","100.0","-1","-1","-1","-1"
"collections.Counter.__delitem__","False","100.0","2","2","3","20829","0","2","20828","100.0","2","100.0","1","0.0","1","50.0"
"collections.Counter.__repr__","False","100.0","7","7","3","46","1","3","42","91.3","4","57.1","3","6.5","2","28.6"
"collections.Counter.__add__","False","90.9","10","11","4","6100","0","9","3203","52.5","10","90.9","2624","43.0","9","81.8"
"collections.Counter.__and__","False","88.9","8","9","4","6199","0","3","3852","62.1","8","88.9","2283","36.8","7","77.8"
"collections.Counter.__iadd__","False","100.0","3","3","2","1003","0","1","1003","100.0","3","100.0","-1","-1","-1","-1"
"collections.Counter._keep_positive","False","100.0","4","4","2","4012","0","2","4006","99.9","4","100.0","6","0.1","3","75.0"
"collections.Counter.__iand__","False","100.0","5","5","2","1003","0","1","1003","100.0","5","100.0","-1","-1","-1","-1"
"collections.Counter.__ior__","False","100.0","5","5","2","1003","0","1","1003","100.0","5","100.0","-1","-1","-1","-1"
"collections.Counter.__isub__","False","100.0","3","3","2","1003","0","1","1003","100.0","3","100.0","-1","-1","-1","-1"
"collections.Counter.__or__","False","91.7","11","12","4","6199","0","9","3203","51.7","11","91.7","2724","43.9","10","83.3"
"collections.Counter.__sub__","False","90.9","10","11","4","6199","0","7","2404","38.8","9","81.8","2000","32.3","10","90.9"
"collections.Counter.subtract","False","100.0","9","9","2","14","1","4","7","50.0","6","66.7","3","21.4","6","66.7"
"collections.abc._check_methods","False","100.0","9","9","0","278","0","5","132","47.5","5","55.6","104","37.4","7","77.8"
"collections.abc.AsyncIterator.__aiter__","False","100.0","1","1","1","1","0","1","1","100.0","1","100.0","-1","-1","-1","-1"
