"full_name","is_generator","coverage_ratio","run_lines_count","executable_lines_count","total_tests","total_calls","total_exceptions","total_paths","top1_path_calls","top1_path_ratio","top1_path_run_lines","top1_path_run_lines_ratio","top2_path_calls","top2_path_ratio","top2_path_run_lines","top2_path_run_lines_ratio"
"difflib.SequenceMatcher.__init__","False","100.0","4","4","22","179","0","1","179","100.0","4","100.0","-1","-1","-1","-1"
"difflib.SequenceMatcher.set_seqs","False","100.0","2","2","22","252","0","1","252","100.0","2","100.0","-1","-1","-1","-1"
"difflib.SequenceMatcher.set_seq1","False","100.0","4","4","22","1009","0","2","966","95.7","3","75.0","43","4.3","2","50.0"
"difflib.SequenceMatcher.set_seq2","False","100.0","6","6","22","483","0","2","442","91.5","5","83.3","41","8.5","2","33.3"
"difflib.SequenceMatcher.ratio","False","100.0","2","2","10","304","0","1","304","100.0","2","100.0","-1","-1","-1","-1"
"difflib.SequenceMatcher.get_matching_blocks","False","100.0","28","28","19","438","0","10","213","48.6","27","96.4","141","32.2","2","7.1"
"difflib.SequenceMatcher.find_longest_match","False","100.0","37","37","21","3629","0","10","1181","32.5","19","51.4","1011","27.9","27","73.0"
"difflib._calculate_ratio","False","100.0","3","3","11","1576","0","2","1573","99.8","2","66.7","3","0.2","2","66.7"
"difflib.diff_bytes","True","61.1","11","18","4","23","5","5","12","52.2","11","61.1","6","26.1","10","55.6"
"difflib.diff_bytes.<locals>.decode","False","100.0","6","6","4","161","5","2","156","96.9","2","33.3","5","3.1","6","100.0"
"difflib.unified_diff","True","96.0","24","25","8","18","3","4","6","33.3","24","96.0","5","27.8","21","84.0"
"difflib._check_types","False","100.0","9","9","8","31","5","4","26","83.9","4","44.4","2","6.5","3","33.3"
"difflib.SequenceMatcher.get_grouped_opcodes","True","100.0","20","20","6","28","0","6","11","39.3","11","55.0","6","21.4","14","70.0"
"difflib.SequenceMatcher.get_opcodes","False","94.4","17","18","16","130","0","9","66","50.8","15","83.3","22","16.9","15","83.3"
"difflib._format_range_unified","False","100.0","7","7","6","27","0","3","14","51.9","5","71.4","11","40.7","4","57.1"
"difflib.context_diff","True","96.3","26","27","5","13","10","3","8","61.5","26","96.3","3","23.1","4","14.8"
"difflib._format_range_context","False","100.0","7","7","5","21","0","3","14","66.7","5","71.4","5","23.8","5","71.4"
"difflib.IS_CHARACTER_JUNK","False","100.0","1","1","2","3906","0","1","3906","100.0","1","100.0","-1","-1","-1","-1"
"difflib.IS_LINE_JUNK","False","100.0","1","1","3","16","0","1","16","100.0","1","100.0","-1","-1","-1","-1"
