"full_name","is_generator","coverage_ratio","run_lines_count","executable_lines_count","total_tests","total_calls","total_exceptions","total_paths","top1_path_calls","top1_path_ratio","top1_path_run_lines","top1_path_run_lines_ratio","top2_path_calls","top2_path_ratio","top2_path_run_lines","top2_path_run_lines_ratio"
"tarfile.TarFile.__init__","False","90.3","65","72","2","2442","1426","10","747","30.6","34","47.2","256","10.5","35","48.6"
"tarfile.TarFile.close","False","91.7","11","12","85","991","0","4","665","67.1","6","50.0","303","30.6","11","91.7"
"tarfile.TarFile.__enter__","False","100.0","2","2","52","363","1","2","362","99.7","2","100.0","1","0.3","1","50.0"
"tarfile.TarFile._check","False","75.0","3","4","125","11283","1","2","11282","100.0","2","50.0","1","0.0","2","50.0"
"tarfile.TarInfo.__init__","False","100.0","17","17","57","10250","0","1","10250","100.0","17","100.0","-1","-1","-1","-1"
"tarfile.TarFile.addfile","False","100.0","14","14","43","339","17","4","142","41.9","12","85.7","108","31.9","8","57.1"
"tarfile.TarInfo.tobuf","False","87.5","7","8","49","372","23","3","309","83.1","5","62.5","44","11.8","3","37.5"
"tarfile.TarInfo.get_info","False","100.0","17","17","51","686","0","2","631","92.0","16","94.1","55","8.0","17","100.0"
"tarfile.TarInfo.create_pax_header","False","100.0","31","31","46","311","59","9","132","42.4","23","74.2","106","34.1","20","64.5"
"tarfile.stn","False","100.0","2","2","1","4083","2","2","4081","100.0","2","100.0","2","0.0","1","50.0"
"tarfile.itn","False","100.0","14","14","2","2935","6","4","2922","99.6","5","35.7","6","0.2","5","35.7"
"tarfile.calc_chksums","False","100.0","3","3","0","10425","0","1","10425","100.0","3","100.0","-1","-1","-1","-1"
"tarfile.TarFile.__exit__","False","100.0","5","5","51","362","0","3","359","99.2","2","40.0","2","0.6","4","80.0"
"tarfile.TarFile.next","False","97.8","45","46","93","9148","1733","10","4080","44.6","13","28.3","2904","31.7","11","23.9"
"tarfile.nti","False","100.0","13","13","2","87158","32","5","86793","99.6","5","38.5","330","0.4","7","53.8"
"tarfile.nts","False","100.0","4","4","3","136552","11","2","123830","90.7","4","100.0","12722","9.3","3","75.0"
"tarfile.TarInfo.isdir","False","100.0","1","1","17","18326","0","1","18326","100.0","1","100.0","-1","-1","-1","-1"
"tarfile.TarInfo._proc_member","False","100.0","7","7","0","9842","10","4","6840","69.5","4","57.1","2332","23.7","4","57.1"
"tarfile.TarInfo._proc_builtin","False","100.0","9","9","0","6840","0","3","4659","68.1","8","88.9","1657","24.2","7","77.8"
"tarfile.TarInfo.isreg","False","100.0","1","1","40","7991","0","1","7991","100.0","1","100.0","-1","-1","-1","-1"
"tarfile.TarInfo._block","False","100.0","4","4","0","7825","0","2","6440","82.3","4","100.0","1385","17.7","3","75.0"
"tarfile.TarInfo._apply_pax_info","False","88.2","15","17","0","8670","0","8","5691","65.6","2","11.8","1152","13.3","9","52.9"
"tarfile.TarFile.getnames","False","100.0","1","1","16","80","0","1","80","100.0","1","100.0","-1","-1","-1","-1"
"tarfile.TarFile.getmembers","False","100.0","4","4","78","332","0","2","216","65.1","4","100.0","116","34.9","3","75.0"
"tarfile.TarFile._load","False","100.0","5","5","74","216","0","1","216","100.0","5","100.0","-1","-1","-1","-1"
"tarfile.TarFile.getmember","False","75.0","3","4","43","171","0","1","171","100.0","3","75.0","-1","-1","-1","-1"
"tarfile.TarFile._getmember","False","100.0","11","11","43","191","0","3","171","89.5","8","72.7","12","6.3","9","81.8"
"tarfile.TarInfo._proc_gnulong","False","100.0","13","13","0","506","1","4","334","66.0","8","61.5","170","33.6","9","69.2"
"tarfile.TarInfo._proc_sparse","False","90.0","18","20","0","164","0","1","164","100.0","18","90.0","-1","-1","-1","-1"
"tarfile.TarInfo._proc_pax","False","100.0","50","50","0","2332","9","10","699","30.0","37","74.0","328","14.1","32","64.0"
"tarfile.TarInfo._decode_pax_field","False","100.0","4","4","0","25092","194","2","24898","99.2","2","50.0","194","0.8","4","100.0"
"tarfile.TarInfo._proc_gnusparse_00","False","100.0","7","7","0","164","0","1","164","100.0","7","100.0","-1","-1","-1","-1"
"tarfile.TarInfo._proc_gnusparse_01","False","100.0","2","2","0","164","0","1","164","100.0","2","100.0","-1","-1","-1","-1"
"tarfile.TarInfo._proc_gnusparse_10","False","91.7","11","12","0","164","0","1","164","100.0","11","91.7","-1","-1","-1","-1"
"tarfile.TarFile.extractfile","False","100.0","11","11","14","531","28","5","411","77.4","5","45.5","48","9.0","6","54.5"
"tarfile.ExFileObject.__init__","False","100.0","3","3","14","435","0","1","435","100.0","3","100.0","-1","-1","-1","-1"
"tarfile.copyfileobj","False","83.3","15","18","28","313","32","4","178","56.9","10","55.6","91","29.1","3","16.7"
"tarfile._FileInFile.readinto","False","100.0","3","3","7","529","0","1","529","100.0","3","100.0","-1","-1","-1","-1"
"tarfile._FileInFile.read","False","95.7","22","23","14","1049","36","9","250","23.8","5","21.7","200","19.1","5","21.7"
"tarfile._FileInFile.flush","False","100.0","1","1","13","243","0","1","243","100.0","1","100.0","-1","-1","-1","-1"
"tarfile._FileInFile.close","False","100.0","1","1","13","235","0","1","235","100.0","1","100.0","-1","-1","-1","-1"
"tarfile.TarFile.add","False","92.3","24","26","20","211","0","10","111","52.6","10","38.5","38","18.0","11","42.3"
"tarfile.TarFile._dbg","False","50.0","1","2","31","352","0","1","352","100.0","1","50.0","-1","-1","-1","-1"
"tarfile.TarFile.gettarinfo","False","76.2","48","63","27","234","0","10","158","67.5","36","57.1","34","14.5","33","52.4"
"tarfile._Stream.__init__","False","87.0","47","54","0","110","7","10","25","22.7","18","33.3","17","15.5","22","40.7"
"tarfile._LowLevelFile.__init__","False","85.7","6","7","0","98","4","1","98","100.0","6","85.7","-1","-1","-1","-1"
"tarfile._Stream.tell","False","100.0","1","1","3","1899","0","1","1899","100.0","1","100.0","-1","-1","-1","-1"
