"full_name","is_generator","coverage_ratio","run_lines_count","executable_lines_count","total_tests","total_calls","total_exceptions","total_paths","top1_path_calls","top1_path_ratio","top1_path_run_lines","top1_path_run_lines_ratio","top2_path_calls","top2_path_ratio","top2_path_run_lines","top2_path_run_lines_ratio"
"bentoml._internal.configuration.clean_bentoml_version","False","80.0","4","5","0","1","0","1","1","100.0","4","80.0","-1","-1","-1","-1"
"bentoml._internal.configuration.load_config","False","55.6","10","18","0","1","0","1","1","100.0","10","55.6","-1","-1","-1","-1"
"bentoml._internal.utils.pkg.pkg_version_info","False","75.0","3","4","7","13","0","1","13","100.0","3","75.0","-1","-1","-1","-1"
"bentoml._internal.configuration.helpers.ensure_larger_than","False","66.7","2","3","0","3","0","1","3","100.0","2","66.7","-1","-1","-1","-1"
"bentoml._internal.configuration.get_bentoml_config_file_from_env","False","66.7","2","3","0","1","0","1","1","100.0","2","66.7","-1","-1","-1","-1"
"bentoml._internal.configuration.get_bentoml_override_config_from_env","False","66.7","2","3","0","1","0","1","1","100.0","2","66.7","-1","-1","-1","-1"
"bentoml._internal.configuration.containers.BentoMLConfiguration.__init__","False","81.0","47","58","9","19","2","6","12","63.2","21","36.2","2","10.5","18","31.0"
"bentoml._internal.configuration.helpers.get_default_config","False","57.1","8","14","9","19","0","1","19","100.0","8","57.1","-1","-1","-1","-1"
"bentoml._internal.configuration.helpers.load_config_file","False","100.0","7","7","11","38","2","2","36","94.7","4","57.1","2","5.3","4","57.1"
"bentoml._internal.configuration.helpers.import_configuration_spec","False","100.0","5","5","9","56","0","1","56","100.0","5","100.0","-1","-1","-1","-1"
"bentoml._internal.utils.lazy_loader.LazyLoader.__init__","False","70.0","7","10","11","197","0","1","197","100.0","7","70.0","-1","-1","-1","-1"
"bentoml._internal.utils.lazy_loader.LazyLoader.__getattr__","False","100.0","3","3","21","181","78","2","131","72.4","3","100.0","50","27.6","2","66.7"
"bentoml._internal.utils.lazy_loader.LazyLoader._load","False","63.6","7","11","21","131","0","1","131","100.0","7","63.6","-1","-1","-1","-1"
"bentoml._internal.configuration.helpers.ensure_range","False","66.7","2","3","0","1","0","1","1","100.0","2","66.7","-1","-1","-1","-1"
"bentoml._internal.configuration.helpers.ensure_iterable_type","False","66.7","2","3","0","1","0","1","1","100.0","2","66.7","-1","-1","-1","-1"
"bentoml._internal.configuration.helpers.ensure_larger_than.<locals>.v","False","100.0","1","1","9","363","0","1","363","100.0","1","100.0","-1","-1","-1","-1"
"bentoml._internal.configuration.helpers.ensure_iterable_type.<locals>.v","False","100.0","1","1","9","38","0","1","38","100.0","1","100.0","-1","-1","-1","-1"
"bentoml._internal.configuration.helpers.is_valid_ip_address","False","100.0","5","5","11","127","13","2","114","89.8","3","60.0","13","10.2","4","80.0"
"bentoml._internal.configuration.containers.BentoMLConfiguration.to_dict","False","100.0","1","1","8","17","0","1","17","100.0","1","100.0","-1","-1","-1","-1"
"bentoml._internal.container.register_default_backends","False","75.0","12","16","0","1","0","1","1","100.0","12","75.0","-1","-1","-1","-1"
"bentoml._internal.container.docker.find_binary","False","100.0","1","1","0","2","0","1","2","100.0","1","100.0","-1","-1","-1","-1"
"bentoml._internal.container.register_backend","False","57.9","11","19","0","6","0","2","4","66.7","11","57.9","2","33.3","10","52.6"
"bentoml._internal.container.base.OCIBuilder.__init__","False","25.0","2","8","0","6","0","1","6","100.0","2","25.0","-1","-1","-1","-1"
"bentoml._internal.container.buildctl.find_binary","False","100.0","1","1","0","1","0","1","1","100.0","1","100.0","-1","-1","-1","-1"
"bentoml._internal.container.buildah.find_binary","False","100.0","1","1","0","1","0","1","1","100.0","1","100.0","-1","-1","-1","-1"
"bentoml._internal.container.nerdctl.find_binary","False","100.0","1","1","0","1","0","1","1","100.0","1","100.0","-1","-1","-1","-1"
"bentoml._internal.container.podman.find_binary","False","100.0","1","1","0","1","0","1","1","100.0","1","100.0","-1","-1","-1","-1"
"bentoml.grpc.utils._import_hook.import_generated_stubs","False","87.5","14","16","2","31","0","1","31","100.0","14","87.5","-1","-1","-1","-1"
"bentoml.grpc.utils._import_hook.import_grpc","False","100.0","5","5","0","10","0","1","10","100.0","5","100.0","-1","-1","-1","-1"
"bentoml._internal.bento.build_config.dict_options_converter","False","28.6","2","7","0","3","0","1","3","100.0","2","28.6","-1","-1","-1","-1"
"bentoml._internal.yatai_client.ObjectWrapper.__init__","False","100.0","1","1","0","3","0","1","3","100.0","1","100.0","-1","-1","-1","-1"
"bentoml._internal.yatai_client.ObjectWrapper.wrapper_setattr","False","100.0","1","1","0","3","0","1","3","100.0","1","100.0","-1","-1","-1","-1"
"bentoml.testing.pytest.plugin.pytest_addoption","False","91.7","11","12","0","1","0","1","1","100.0","11","91.7","-1","-1","-1","-1"
"bentoml.testing.pytest.plugin.pytest_configure","False","100.0","6","6","0","1","0","1","1","100.0","6","100.0","-1","-1","-1","-1"
"bentoml.testing.pytest.plugin.pytest_sessionstart","False","94.1","16","17","0","1","0","1","1","100.0","16","94.1","-1","-1","-1","-1"
"bentoml._internal.utils.analytics.usage_stats.silent","False","25.0","3","12","1","2","0","1","2","100.0","3","25.0","-1","-1","-1","-1"
"bentoml.testing.pytest.plugin._setup_test_directory","False","100.0","10","10","0","1","0","1","1","100.0","10","100.0","-1","-1","-1","-1"
"bentoml._internal.utils.validate_or_create_dir","False","66.7","4","6","0","1","0","1","1","100.0","4","66.7","-1","-1","-1","-1"
"bentoml.testing.pytest.plugin._setup_session_environment","False","83.3","5","6","0","2","0","1","2","100.0","5","83.3","-1","-1","-1","-1"
"bentoml.testing.pytest.plugin.pytest_report_header","False","50.0","1","2","0","1","0","1","1","100.0","1","50.0","-1","-1","-1","-1"
"bentoml.testing.pytest.plugin.pytest_generate_tests","False","60.0","3","5","0","138","0","2","136","98.6","2","40.0","2","1.4","3","60.0"
"bentoml._internal.service.service.Service.__init__","False","59.1","13","22","3","8","0","2","7","87.5","7","31.8","1","12.5","13","59.1"
"bentoml._internal.service.service.get_valid_service_name","False","100.0","6","6","4","9","0","2","8","88.9","4","66.7","1","11.1","6","100.0"
"bentoml._internal.tag.Tag.__init__","False","83.3","10","12","7","175","0","2","129","73.7","9","75.0","46","26.3","6","50.0"
"bentoml._internal.tag.validate_tag_str","False","100.0","8","8","18","325","9","3","316","97.2","4","50.0","7","2.2","7","87.5"
"bentoml._internal.io_descriptors.text.Text.__init__","False","100.0","4","4","7","20","1","2","19","95.0","1","25.0","1","5.0","4","100.0"
"bentoml._internal.service.service.Service.api","False","37.5","3","8","2","7","0","1","7","100.0","3","37.5","-1","-1","-1","-1"
"bentoml._internal.service.service.add_inference_api","False","100.0","11","11","0","7","1","2","6","85.7","9","81.8","1","14.3","10","90.9"
"bentoml._internal.service.inference_api.InferenceAPI.__init__","False","39.7","27","68","0","7","0","2","6","85.7","26","38.2","1","14.3","27","39.7"
"bentoml._internal.io_descriptors.text.Text.input_type","False","100.0","1","1","0","6","0","1","6","100.0","1","100.0","-1","-1","-1","-1"
"bentoml.testing.pytest.plugin._setup_model_store","False","100.0","20","20","0","2","0","1","2","100.0","20","100.0","-1","-1","-1","-1"
"bentoml._internal.models.model.ModelStore.__init__","False","100.0","1","1","1","39","0","1","39","100.0","1","100.0","-1","-1","-1","-1"
"bentoml._internal.store.Store.__init__","False","80.0","4","5","2","40","0","2","38","95.0","3","60.0","2","5.0","4","80.0"
"bentoml.models.create","False","80.0","24","30","0","7","0","1","7","100.0","24","80.0","-1","-1","-1","-1"
"bentoml._internal.tag.Tag.make_new_version","False","71.4","5","7","0","14","0","1","14","100.0","5","71.4","-1","-1","-1","-1"
"bentoml._internal.models.model.ModelInfo.__init__","False","94.7","18","19","1","26","0","2","14","53.8","18","94.7","12","46.2","15","78.9"
"bentoml._internal.models.model.ModelOptions.to_dict","False","100.0","1","1","1","14","0","1","14","100.0","1","100.0","-1","-1","-1","-1"
"bentoml._internal.utils.label_validator","False","100.0","1","1","1","26","0","1","26","100.0","1","100.0","-1","-1","-1","-1"
"bentoml._internal.utils.validate_labels","False","100.0","7","7","2","30","3","5","24","80.0","2","28.6","3","10.0","4","57.1"
"bentoml._internal.utils.metadata_validator","False","100.0","1","1","1","26","0","1","26","100.0","1","100.0","-1","-1","-1","-1"
"bentoml._internal.utils.validate_metadata","False","100.0","6","6","2","46","4","4","24","52.2","2","33.3","20","43.5","4","66.7"
"bentoml._internal.models.model.ModelInfo.validate","False","100.0","1","1","1","26","0","1","26","100.0","1","100.0","-1","-1","-1","-1"
"bentoml._internal.models.model.Model.__init__","False","33.3","2","6","0","23","0","1","23","100.0","2","33.3","-1","-1","-1","-1"
"bentoml._internal.models.model.Model.flush","False","100.0","2","2","0","9","0","1","9","100.0","2","100.0","-1","-1","-1","-1"
"bentoml._internal.models.model.Model._write_info","False","100.0","2","2","0","9","0","1","9","100.0","2","100.0","-1","-1","-1","-1"
"bentoml._internal.models.model.ModelInfo.dump","False","100.0","1","1","1","12","0","1","12","100.0","1","100.0","-1","-1","-1","-1"
"bentoml._internal.models.model.ModelInfo.to_dict","False","100.0","1","1","1","12","0","1","12","100.0","1","100.0","-1","-1","-1","-1"
"bentoml._internal.models.model.Model._write_custom_objects","False","100.0","3","3","0","9","0","2","7","77.8","1","33.3","2","22.2","3","100.0"
"bentoml._internal.models.model.Model.save","False","66.7","8","12","0","8","0","1","8","100.0","8","66.7","-1","-1","-1","-1"
"bentoml._internal.models.model.Model.validate","False","33.3","1","3","0","19","0","1","19","100.0","1","33.3","-1","-1","-1","-1"
"bentoml._internal.store.Store.register","False","325.0","13","4","0","14","1","4","6","42.9","10","250.0","6","42.9","11","275.0"
"bentoml._internal.tag.Tag.path","False","100.0","3","3","1","90","0","2","88","97.8","2","66.7","2","2.2","2","66.7"
"bentoml._internal.tag.Tag.latest_path","False","100.0","1","1","0","39","0","1","39","100.0","1","100.0","-1","-1","-1","-1"
"bentoml._internal.models.model.Model.path_of","False","100.0","1","1","1","16","2","1","16","100.0","1","100.0","-1","-1","-1","-1"
"bentoml._internal.utils.calc_dir_size","False","100.0","1","1","0","7","0","1","7","100.0","1","100.0","-1","-1","-1","-1"
"bentoml._internal.utils.analytics.usage_stats.track","False","80.0","8","10","0","16","1","3","8","50.0","2","20.0","4","25.0","5","50.0"
"bentoml._internal.store.Store.get","False","95.8","23","24","1","24","4","6","11","45.8","8","33.3","8","33.3","5","20.8"
"bentoml._internal.store.Store._get_item","False","100.0","1","1","1","33","0","1","33","100.0","1","100.0","-1","-1","-1","-1"
"bentoml._internal.tag.Tag.__str__","False","66.7","2","3","2","24","0","1","24","100.0","2","66.7","-1","-1","-1","-1"
"bentoml._internal.utils.cattr.datetime_structure_hook","False","40.0","2","5","0","26","0","1","26","100.0","2","40.0","-1","-1","-1","-1"
"bentoml._internal.io_descriptors.json.JSON.__init__","False","62.5","10","16","12","29","2","4","19","65.5","4","25.0","7","24.1","7","43.8"
"bentoml._internal.io_descriptors.image.Image.__init__","False","69.2","18","26","8","17","4","3","13","76.5","13","50.0","2","11.8","10","38.5"
"bentoml._internal.io_descriptors.multipart.Multipart.__init__","False","100.0","5","5","1","3","1","2","2","66.7","2","40.0","1","33.3","4","80.0"
"bentoml._internal.io_descriptors.numpy.NumpyNdarray.__init__","False","69.2","9","13","10","59","1","3","54","91.5","5","38.5","4","6.8","7","53.8"
"bentoml._internal.io_descriptors.numpy.NumpyNdarray._from_sample","False","64.3","9","14","0","3","1","2","2","66.7","6","42.9","1","33.3","4","28.6"
"bentoml._internal.runner.container.register_builtin_containers","False","100.0","18","18","0","1","0","1","1","100.0","18","100.0","-1","-1","-1","-1"
"bentoml._internal.types.LazyType.__init__","False","80.0","12","15","8","450","0","3","401","89.1","5","33.3","47","10.4","6","40.0"
"bentoml._internal.types.LazyType.__hash__","False","100.0","1","1","0","10","0","1","10","100.0","1","100.0","-1","-1","-1","-1"
"bentoml._internal.types.LazyType.__eq__","False","80.0","4","5","1","3","0","2","2","66.7","3","60.0","1","33.3","4","80.0"
"bentoml._internal.runner.runnable.Runnable.method.<locals>.method_decorator","False","88.9","8","9","0","2","0","1","2","100.0","8","88.9","-1","-1","-1","-1"
"bentoml._internal.runner.runnable.RunnableMethod.__set_name__","False","100.0","3","3","0","2","0","1","2","100.0","3","100.0","-1","-1","-1","-1"
"bentoml._internal.utils.pkg.source_locations","False","80.0","4","5","3","9","0","1","9","100.0","4","80.0","-1","-1","-1","-1"
"bentoml._internal.utils.add_experimental_docstring","False","100.0","2","2","0","3","0","1","3","100.0","2","100.0","-1","-1","-1","-1"
"bentoml._internal.utils.cached_contextmanager.__init__","False","100.0","2","2","0","1","0","1","1","100.0","2","100.0","-1","-1","-1","-1"
