"full_name","is_generator","coverage_ratio","run_lines_count","executable_lines_count","total_tests","total_calls","total_exceptions","total_paths","top1_path_calls","top1_path_ratio","top1_path_run_lines","top1_path_run_lines_ratio","top2_path_calls","top2_path_ratio","top2_path_run_lines","top2_path_run_lines_ratio"
"argparse.HelpFormatter.format_help","False","100.0","5","5","50","2524","2","3","2519","99.8","5","100.0","3","0.1","3","60.0"
"argparse.HelpFormatter._Section.format_help","False","100.0","13","13","50","2941","2","5","2519","85.7","8","61.5","335","11.4","11","84.6"
"argparse.HelpFormatter._format_usage","False","71.4","45","63","50","2516","2","10","1169","46.5","17","27.0","1117","44.4","18","28.6"
"argparse.HelpFormatter._format_actions_usage","False","98.4","62","63","36","2690","16","10","970","36.1","26","41.3","734","27.3","27","42.9"
"argparse.HelpFormatter._get_default_metavar_for_positional","False","100.0","1","1","28","2686","0","1","2686","100.0","1","100.0","-1","-1","-1","-1"
"argparse.HelpFormatter._join_parts","False","66.7","2","3","50","6596","0","1","6596","100.0","2","66.7","-1","-1","-1","-1"
"argparse._SubParsersAction.__init__","False","75.0","12","16","20","73","0","1","73","100.0","12","75.0","-1","-1","-1","-1"
"argparse.ArgumentParser.print_usage","False","100.0","3","3","24","2182","0","2","2145","98.3","2","66.7","37","1.7","3","100.0"
"argparse.ArgumentParser.format_usage","False","100.0","4","4","31","2260","0","1","2260","100.0","4","100.0","-1","-1","-1","-1"
"argparse.Action.format_usage","False","100.0","1","1","35","3756","0","1","3756","100.0","1","100.0","-1","-1","-1","-1"
"argparse.ArgumentParser._print_message","False","75.0","3","4","24","4381","0","2","4379","100.0","3","75.0","2","0.0","1","25.0"
"argparse._SubParsersAction.add_parser","False","100.0","12","12","20","223","0","4","122","54.7","8","66.7","98","43.9","11","91.7"
"argparse._SubParsersAction._ChoicesPseudoAction.__init__","False","100.0","6","6","4","99","0","2","98","99.0","5","83.3","1","1.0","6","100.0"
"argparse.ArgumentParser.format_help","False","100.0","11","11","21","189","2","1","189","100.0","11","100.0","-1","-1","-1","-1"
"argparse.HelpFormatter.add_text","False","100.0","2","2","21","801","0","2","718","89.6","1","50.0","83","10.4","2","100.0"
