"full_name","is_generator","coverage_ratio","run_lines_count","executable_lines_count","total_tests","total_calls","total_exceptions","total_paths","top1_path_calls","top1_path_ratio","top1_path_run_lines","top1_path_run_lines_ratio","top2_path_calls","top2_path_ratio","top2_path_run_lines","top2_path_run_lines_ratio"
"cookiecutter.cli.version_msg","False","100.0","3","3","0","1","0","1","1","100.0","3","100.0","-1","-1","-1","-1"
"cookiecutter.generate.generate_files","False","92.8","77","83","47","66","18","10","42","63.6","39","47.0","5","7.6","16","19.3"
"cookiecutter.find.find_template","False","100.0","8","8","48","68","1","2","67","98.5","7","87.5","1","1.5","4","50.0"
"cookiecutter.generate.ensure_dir_is_templated","False","100.0","3","3","47","69","4","2","65","94.2","2","66.7","4","5.8","2","66.7"
"cookiecutter.environment.StrictEnvironment.__init__","False","100.0","1","1","72","159","3","1","159","100.0","1","100.0","-1","-1","-1","-1"
"cookiecutter.environment.ExtensionLoaderMixin.__init__","False","100.0","7","7","72","159","3","2","156","98.1","5","71.4","3","1.9","7","100.0"
"cookiecutter.extensions.JsonifyExtension.__init__","False","75.0","3","4","0","159","0","1","159","100.0","3","75.0","-1","-1","-1","-1"
"cookiecutter.extensions.RandomStringExtension.__init__","False","42.9","3","7","0","159","0","1","159","100.0","3","42.9","-1","-1","-1","-1"
"cookiecutter.extensions.SlugifyExtension.__init__","False","75.0","3","4","0","159","0","1","159","100.0","3","75.0","-1","-1","-1","-1"
"cookiecutter.extensions.UUIDExtension.__init__","False","75.0","3","4","0","159","0","1","159","100.0","3","75.0","-1","-1","-1","-1"
"cookiecutter.generate.render_and_create_dir","False","73.7","14","19","46","78","7","4","61","78.2","9","47.4","10","12.8","11","57.9"
"cookiecutter.utils.make_sure_path_exists","False","100.0","5","5","66","126","1","2","125","99.2","3","60.0","1","0.8","5","100.0"
"cookiecutter.generate._run_hook_from_repo_dir","False","100.0","10","10","42","108","6","3","102","94.4","3","30.0","5","4.6","10","100.0"
"cookiecutter.utils.work_in","False","150.0","6","4","51","172","13","2","171","99.4","6","150.0","1","0.6","5","125.0"
"cookiecutter.hooks.run_hook","False","100.0","7","7","44","111","7","2","93","83.8","4","57.1","18","16.2","5","71.4"
"cookiecutter.hooks.find_hook","False","100.0","11","11","49","118","0","3","95","80.5","4","36.4","20","16.9","8","72.7"
"cookiecutter.hooks.valid_hook","False","100.0","6","6","14","45","0","1","45","100.0","6","100.0","-1","-1","-1","-1"
"cookiecutter.hooks.run_script_with_context","False","100.0","9","9","12","20","7","1","20","100.0","9","100.0","-1","-1","-1","-1"
"cookiecutter.hooks.run_script","False","100.0","17","17","16","24","9","5","8","33.3","8","47.1","7","29.2","8","47.1"
"cookiecutter.utils.make_executable","False","100.0","2","2","16","24","0","1","24","100.0","2","100.0","-1","-1","-1","-1"
"cookiecutter.utils.rmtree","False","100.0","1","1","22","71","0","1","71","100.0","1","100.0","-1","-1","-1","-1"
"cookiecutter.generate.is_copy_only_path","False","100.0","7","7","39","128","101","3","101","78.9","4","57.1","15","11.7","4","57.1"
"cookiecutter.generate.generate_file","False","100.0","32","32","44","111","5","8","89","80.2","21","65.6","8","7.2","23","71.9"
"cookiecutter.cli.validate_extra_context","False","100.0","6","6","26","37","1","3","35","94.6","2","33.3","1","2.7","3","50.0"
"cookiecutter.log.configure_logger","False","100.0","16","16","3","36","0","2","33","91.7","11","68.8","3","8.3","16","100.0"
"cookiecutter.main.cookiecutter","False","78.3","47","60","21","43","9","9","30","69.8","38","63.3","4","9.3","4","6.7"
"cookiecutter.config.get_user_config","False","100.0","16","16","28","49","36","5","34","69.4","8","50.0","8","16.3","4","25.0"
"cookiecutter.repository.determine_repo_dir","False","93.5","29","31","29","50","5","7","38","76.0","9","29.0","4","8.0","14","45.2"
"cookiecutter.repository.expand_abbreviations","False","100.0","6","6","32","60","1","3","51","85.0","4","66.7","8","13.3","4","66.7"
"cookiecutter.repository.is_zip_file","False","100.0","1","1","30","53","0","1","53","100.0","1","100.0","-1","-1","-1","-1"
"cookiecutter.repository.is_repo_url","False","100.0","1","1","32","62","0","1","62","100.0","1","100.0","-1","-1","-1","-1"
"cookiecutter.repository.repository_has_cookiecutter_json","False","100.0","4","4","31","59","0","1","59","100.0","4","100.0","-1","-1","-1","-1"
"cookiecutter.main._patch_import_path_for_repo.__init__","False","100.0","2","2","19","38","0","1","38","100.0","2","100.0","-1","-1","-1","-1"
"cookiecutter.generate.generate_context","False","95.8","23","24","21","43","3","6","32","74.4","11","45.8","4","9.3","12","50.0"
"cookiecutter.main._patch_import_path_for_repo.__enter__","False","100.0","2","2","19","73","0","1","73","100.0","2","100.0","-1","-1","-1","-1"
"cookiecutter.prompt.prompt_for_config","False","100.0","40","40","27","50","5","10","26","52.0","17","42.5","6","12.0","18","45.0"
"cookiecutter.prompt.render_variable","False","84.6","11","13","28","310","6","5","278","89.7","6","46.2","11","3.5","4","30.8"
"cookiecutter.main._patch_import_path_for_repo.__exit__","False","100.0","1","1","19","73","0","1","73","100.0","1","100.0","-1","-1","-1","-1"
"cookiecutter.replay.dump","False","100.0","10","10","17","34","4","5","30","88.2","7","70.0","1","2.9","3","30.0"
"cookiecutter.replay.get_file_name","False","100.0","3","3","15","35","0","1","35","100.0","3","100.0","-1","-1","-1","-1"
"cookiecutter.exceptions.UndefinedVariableInTemplate.__init__","False","100.0","3","3","9","13","0","1","13","100.0","3","100.0","-1","-1","-1","-1"
"cookiecutter.utils.simple_filter.<locals>.SimpleFilterExtension.__init__","False","100.0","2","2","0","2","0","1","2","100.0","2","100.0","-1","-1","-1","-1"
"cookiecutter.generate.apply_overwrites_to_context","False","100.0","15","15","10","19","2","9","10","52.6","6","40.0","2","10.5","7","46.7"
"cookiecutter.cli.list_installed_templates","False","80.0","12","15","0","2","1","2","1","50.0","8","53.3","1","50.0","7","46.7"
"cookiecutter.config.get_config","False","100.0","16","16","12","15","3","3","12","80.0","11","68.8","2","13.3","9","56.2"
"cookiecutter.config.merge_configs","False","100.0","6","6","10","28","0","3","18","64.3","5","83.3","8","28.6","6","100.0"
"cookiecutter.config._expand_path","False","100.0","3","3","9","24","0","1","24","100.0","3","100.0","-1","-1","-1","-1"
"cookiecutter.zipfile.unzip","False","91.5","54","59","16","16","9","10","2","12.5","15","25.4","2","12.5","24","40.7"
"cookiecutter.extensions.SlugifyExtension.__init__.<locals>.slugify","False","100.0","1","1","3","3","0","1","3","100.0","1","100.0","-1","-1","-1","-1"
"cookiecutter.extensions.UUIDExtension.__init__.<locals>.uuid4","False","100.0","1","1","0","3","0","1","3","100.0","1","100.0","-1","-1","-1","-1"
"cookiecutter.exceptions.UndefinedVariableInTemplate.__str__","False","100.0","4","4","1","1","0","1","1","100.0","4","100.0","-1","-1","-1","-1"
"cookiecutter.extensions.JsonifyExtension.__init__.<locals>.jsonify","False","100.0","1","1","1","1","0","1","1","100.0","1","100.0","-1","-1","-1","-1"
"cookiecutter.extensions.RandomStringExtension.__init__.<locals>.random_ascii_string","False","100.0","4","4","0","4","0","2","2","50.0","3","75.0","2","50.0","3","75.0"
"cookiecutter.prompt.prompt_choice_for_config","False","100.0","4","4","4","4","1","3","2","50.0","3","75.0","1","25.0","3","75.0"
"cookiecutter.prompt.read_repo_password","False","100.0","1","1","1","1","0","1","1","100.0","1","100.0","-1","-1","-1","-1"
"cookiecutter.prompt.read_user_choice","False","100.0","16","16","2","6","2","3","4","66.7","14","87.5","1","16.7","2","12.5"
"cookiecutter.prompt.process_json","False","100.0","9","9","6","7","2","4","3","42.9","2","22.2","2","28.6","5","55.6"
"cookiecutter.prompt.read_user_dict","False","90.0","9","10","4","5","1","2","4","80.0","8","80.0","1","20.0","2","20.0"
"cookiecutter.prompt.read_user_variable","False","100.0","1","1","1","1","0","1","1","100.0","1","100.0","-1","-1","-1","-1"
"cookiecutter.prompt.read_user_yes_no","False","100.0","1","1","1","1","0","1","1","100.0","1","100.0","-1","-1","-1","-1"
"cookiecutter.utils.force_delete","False","100.0","2","2","1","1","0","1","1","100.0","2","100.0","-1","-1","-1","-1"
"cookiecutter.utils.prompt_and_delete","False","100.0","15","15","8","8","1","6","2","25.0","9","60.0","2","25.0","6","40.0"
"cookiecutter.replay.load","False","100.0","8","8","4","4","3","4","1","25.0","2","25.0","1","25.0","6","75.0"
"cookiecutter.vcs.clone","False","91.8","45","49","8","14","7","9","4","28.6","27","55.1","2","14.3","25","51.0"
"cookiecutter.vcs.identify_repo","False","100.0","11","11","10","27","5","5","17","63.0","4","36.4","3","11.1","5","45.5"
"cookiecutter.vcs.is_vcs_installed","False","100.0","1","1","4","9","0","1","9","100.0","1","100.0","-1","-1","-1","-1"
