"full_name","is_generator","coverage_ratio","run_lines_count","executable_lines_count","total_tests","total_calls","total_exceptions","total_paths","top1_path_calls","top1_path_ratio","top1_path_run_lines","top1_path_run_lines_ratio","top2_path_calls","top2_path_ratio","top2_path_run_lines","top2_path_run_lines_ratio"
"thefuck.const._GenConst.__init__","False","100.0","1","1","0","10","0","1","10","100.0","1","100.0","-1","-1","-1","-1"
"thefuck.utils.memoize","False","36.4","4","11","2","38","0","1","38","100.0","4","36.4","-1","-1","-1","-1"
"thefuck.utils.Cache.__init__","False","100.0","1","1","0","1","0","1","1","100.0","1","100.0","-1","-1","-1","-1"
"thefuck.utils.cache","False","22.2","2","9","2","14","0","1","14","100.0","2","22.2","-1","-1","-1","-1"
"thefuck.shells._get_shell_from_env","False","66.7","2","3","0","1","0","1","1","100.0","2","66.7","-1","-1","-1","-1"
"thefuck.shells._get_shell_from_proc","False","64.3","9","14","0","1","0","1","1","100.0","9","64.3","-1","-1","-1","-1"
"thefuck.types.Rule.__init__","False","100.0","7","7","7","28","0","1","28","100.0","7","100.0","-1","-1","-1","-1"
"thefuck.utils.for_app","False","40.0","2","5","1","87","0","1","87","100.0","2","40.0","-1","-1","-1","-1"
"thefuck.utils.which","False","23.1","3","13","0","31","0","1","31","100.0","3","23.1","-1","-1","-1","-1"
"thefuck.types.Command.__init__","False","100.0","2","2","316","1832","0","1","1832","100.0","2","100.0","-1","-1","-1","-1"
"thefuck.rules.fix_file._make_pattern","False","100.0","4","4","0","12","0","1","12","100.0","4","100.0","-1","-1","-1","-1"
"thefuck.utils.default_settings","False","40.0","2","5","1","4","0","1","4","100.0","2","40.0","-1","-1","-1","-1"
"thefuck.specific.archlinux.archlinux_env","False","45.5","5","11","0","3","0","1","3","100.0","5","45.5","-1","-1","-1","-1"
"thefuck.conf.Settings.__setattr__","False","100.0","1","1","23","1948","0","1","1948","100.0","1","100.0","-1","-1","-1","-1"
"thefuck.argument_parser.Parser.__init__","False","100.0","2","2","1","12","0","1","12","100.0","2","100.0","-1","-1","-1","-1"
"thefuck.argument_parser.Parser._add_arguments","False","100.0","34","34","1","12","0","1","12","100.0","34","100.0","-1","-1","-1","-1"
"thefuck.utils.get_alias","False","100.0","1","1","6","29","0","1","29","100.0","1","100.0","-1","-1","-1","-1"
"thefuck.argument_parser.Parser._add_conflicting_arguments","False","100.0","9","9","1","12","0","1","12","100.0","9","100.0","-1","-1","-1","-1"
"thefuck.argument_parser.Parser.parse","False","100.0","2","2","1","12","0","1","12","100.0","2","100.0","-1","-1","-1","-1"
"thefuck.argument_parser.Parser._prepare_arguments","False","83.3","5","6","1","12","0","2","6","50.0","3","50.0","6","50.0","3","50.0"
"thefuck.conf.Settings.init","False","66.7","8","12","14","15","0","1","15","100.0","8","66.7","-1","-1","-1","-1"
"thefuck.conf.Settings._setup_user_dir","False","80.0","4","5","14","15","0","1","15","100.0","4","80.0","-1","-1","-1","-1"
"thefuck.conf.Settings._get_user_dir_path","False","100.0","8","8","15","19","0","2","17","89.5","5","62.5","2","10.5","7","87.5"
"thefuck.conf.Settings._init_settings_file","False","100.0","6","6","16","17","0","2","16","94.1","2","33.3","1","5.9","6","100.0"
"thefuck.conf.Settings.__getattr__","False","100.0","1","1","67","439","0","1","439","100.0","1","100.0","-1","-1","-1","-1"
"thefuck.conf.Settings._settings_from_file","False","80.0","4","5","14","15","0","1","15","100.0","4","80.0","-1","-1","-1","-1"
"thefuck.conf.Settings._settings_from_env","False","66.7","2","3","14","15","0","1","15","100.0","2","66.7","-1","-1","-1","-1"
"thefuck.conf.Settings._settings_from_args","False","100.0","10","10","14","15","0","2","14","93.3","2","20.0","1","6.7","9","90.0"
"thefuck.conf.Settings._val_from_env","False","91.7","11","12","2","11","0","5","3","27.3","3","25.0","3","27.3","5","41.7"
"thefuck.conf.Settings._rules_from_env","False","100.0","4","4","2","3","0","2","2","66.7","3","75.0","1","33.3","4","100.0"
"thefuck.conf.Settings._priority_from_env","True","100.0","6","6","1","1","1","1","1","100.0","6","100.0","-1","-1","-1","-1"
"thefuck.const._GenConst.__repr__","False","100.0","1","1","1","2","0","1","2","100.0","1","100.0","-1","-1","-1","-1"
"thefuck.corrector.get_rules","False","75.0","3","4","2","5","0","1","5","100.0","3","75.0","-1","-1","-1","-1"
"thefuck.corrector.get_rules_import_paths","True","57.1","4","7","2","5","0","1","5","100.0","4","57.1","-1","-1","-1","-1"
"thefuck.corrector.get_loaded_rules","True","100.0","5","5","2","5","0","2","3","60.0","5","100.0","2","40.0","4","80.0"
"thefuck.logs.debug_time","False","100.0","4","4","6","23","1","1","23","100.0","4","100.0","-1","-1","-1","-1"
"thefuck.logs.debug","False","100.0","6","6","10","41","0","2","39","95.1","1","16.7","2","4.9","6","100.0"
"thefuck.logs.exception","False","100.0","8","8","1","3","0","1","3","100.0","8","100.0","-1","-1","-1","-1"
"thefuck.logs.color","False","100.0","3","3","12","59","0","2","39","66.1","2","66.7","20","33.9","2","66.7"
"thefuck.corrector.get_corrected_commands","False","60.0","3","5","1","1","0","1","1","100.0","3","60.0","-1","-1","-1","-1"
"thefuck.corrector.organize_commands","True","81.2","13","16","2","2","0","1","2","100.0","13","81.2","-1","-1","-1","-1"
"thefuck.types.Rule.is_match","False","87.5","7","8","3","6","1","3","3","50.0","5","62.5","2","33.3","4","50.0"
"thefuck.types.Rule.get_corrected_commands","True","100.0","7","7","2","4","0","2","2","50.0","7","100.0","2","50.0","6","85.7"
"thefuck.types.CorrectedCommand.__init__","False","100.0","3","3","9","42","0","1","42","100.0","3","100.0","-1","-1","-1","-1"
"thefuck.types.CorrectedCommand.__eq__","False","75.0","3","4","10","23","0","1","23","100.0","3","75.0","-1","-1","-1","-1"
"thefuck.types.CorrectedCommand.__hash__","False","100.0","1","1","3","9","0","1","9","100.0","1","100.0","-1","-1","-1","-1"
"thefuck.types.CorrectedCommand.__repr__","False","100.0","2","2","3","9","0","1","9","100.0","2","100.0","-1","-1","-1","-1"
"thefuck.types.CorrectedCommand.run","False","85.7","6","7","1","3","0","1","3","100.0","6","85.7","-1","-1","-1","-1"
"thefuck.shells.generic.Generic.put_to_history","False","NA","1","0","1","3","0","1","3","100.0","1","NA","-1","-1","-1","-1"
"thefuck.types.CorrectedCommand._get_script","False","100.0","7","7","1","3","0","2","2","66.7","6","85.7","1","33.3","2","28.6"
"thefuck.shells.generic.Generic.quote","False","75.0","3","4","4","113","0","1","113","100.0","3","75.0","-1","-1","-1","-1"
"thefuck.shells.generic.Generic.or_","False","100.0","1","1","5","6","0","1","6","100.0","1","100.0","-1","-1","-1","-1"
"thefuck.types.Rule.__eq__","False","87.5","7","8","1","1","0","1","1","100.0","7","87.5","-1","-1","-1","-1"
"thefuck.logs.rule_failed","False","100.0","1","1","1","1","0","1","1","100.0","1","100.0","-1","-1","-1","-1"
"thefuck.utils.format_raw_script","False","75.0","3","4","0","8","0","1","8","100.0","3","75.0","-1","-1","-1","-1"
"thefuck.shells.generic.Generic.from_shell","False","100.0","1","1","5","31","0","1","31","100.0","1","100.0","-1","-1","-1","-1"
"thefuck.shells.generic.Generic._expand_aliases","False","100.0","5","5","4","17","0","2","11","64.7","4","80.0","6","35.3","4","80.0"
"thefuck.shells.generic.Generic.get_aliases","False","100.0","1","1","2","12","0","1","12","100.0","1","100.0","-1","-1","-1","-1"
"thefuck.output_readers.get_output","False","60.0","3","5","0","5","0","1","5","100.0","3","60.0","-1","-1","-1","-1"
"thefuck.output_readers.shell_logger.is_available","False","75.0","3","4","0","5","0","1","5","100.0","3","75.0","-1","-1","-1","-1"
"thefuck.output_readers.shell_logger._get_socket_path","False","100.0","1","1","0","5","0","1","5","100.0","1","100.0","-1","-1","-1","-1"
"thefuck.output_readers.rerun.get_output","False","93.8","15","16","3","8","0","2","7","87.5","13","81.2","1","12.5","12","75.0"
"thefuck.types.Command.__eq__","False","66.7","2","3","2","8","0","1","8","100.0","2","66.7","-1","-1","-1","-1"
"thefuck.ui.read_actions","True","100.0","10","10","5","5","4","4","2","40.0","7","70.0","1","20.0","10","100.0"
"thefuck.ui.CommandSelector.__init__","False","100.0","7","7","8","8","1","2","7","87.5","5","71.4","1","12.5","5","71.4"
"thefuck.ui.CommandSelector.next","False","100.0","2","2","2","4","0","1","4","100.0","2","100.0","-1","-1","-1","-1"
"thefuck.ui.CommandSelector._realise","False","100.0","3","3","2","5","0","2","3","60.0","1","33.3","2","40.0","3","100.0"
"thefuck.ui.CommandSelector.previous","False","100.0","2","2","1","1","0","1","1","100.0","2","100.0","-1","-1","-1","-1"
"thefuck.ui.select_command","False","87.0","20","23","7","7","1","5","2","28.6","5","21.7","2","28.6","8","34.8"
"thefuck.logs.failed","False","100.0","4","4","2","2","0","1","2","100.0","4","100.0","-1","-1","-1","-1"
"thefuck.logs.show_corrected_command","False","100.0","6","6","2","2","0","1","2","100.0","6","100.0","-1","-1","-1","-1"
"thefuck.logs.confirm_text","False","100.0","12","12","4","5","0","1","5","100.0","12","100.0","-1","-1","-1","-1"
"thefuck.utils.default_settings.<locals>._default_settings","False","100.0","3","3","0","26","0","1","26","100.0","3","100.0","-1","-1","-1","-1"
"thefuck.utils.get_closest","False","100.0","6","6","11","44","9","3","35","79.5","3","50.0","6","13.6","5","83.3"
"thefuck.utils.get_close_matches","False","100.0","3","3","20","82","0","2","78","95.1","3","100.0","4","4.9","2","66.7"
"thefuck.utils.get_all_executables","False","69.2","9","13","0","6","0","1","6","100.0","9","69.2","-1","-1","-1","-1"
"thefuck.utils.include_path_in_search","False","100.0","1","1","0","36","2","1","36","100.0","1","100.0","-1","-1","-1","-1"
