"full_name","is_generator","coverage_ratio","run_lines_count","executable_lines_count","total_tests","total_calls","total_exceptions","total_paths","top1_path_calls","top1_path_ratio","top1_path_run_lines","top1_path_run_lines_ratio","top2_path_calls","top2_path_ratio","top2_path_run_lines","top2_path_run_lines_ratio"
"flask.globals._FakeStack.__init__","False","100.0","2","2","0","2","0","1","2","100.0","2","100.0","-1","-1","-1","-1"
"flask.globals.__getattr__","False","20.0","3","15","0","37","37","1","37","100.0","3","20.0","-1","-1","-1","-1"
"flask.cli.CertParamType.__init__","False","100.0","1","1","0","1","0","1","1","100.0","1","100.0","-1","-1","-1","-1"
"flask.cli.with_appcontext","False","42.9","3","7","1","16","0","1","16","100.0","3","42.9","-1","-1","-1","-1"
"flask.cli.FlaskGroup.__init__","False","76.2","16","21","4","12","0","1","12","100.0","16","76.2","-1","-1","-1","-1"
"flask.helpers.locked_cached_property.__init__","False","33.3","2","6","0","4","0","1","4","100.0","2","33.3","-1","-1","-1","-1"
"flask.scaffold.setupmethod","False","60.0","3","5","0","45","0","1","45","100.0","3","60.0","-1","-1","-1","-1"
"flask.json.tag.TaggedJSONSerializer.__init__","False","100.0","4","4","4","14","0","1","14","100.0","4","100.0","-1","-1","-1","-1"
"flask.json.tag.TaggedJSONSerializer.register","False","69.2","9","13","4","117","1","4","86","73.5","7","53.8","28","23.9","5","38.5"
"flask.json.tag.JSONTag.__init__","False","100.0","1","1","5","118","0","1","118","100.0","1","100.0","-1","-1","-1","-1"
"flask.config.ConfigAttribute.__init__","False","100.0","2","2","0","3","0","1","3","100.0","2","100.0","-1","-1","-1","-1"
"flask.__getattr__","False","17.6","3","17","0","48","48","1","48","100.0","3","17.6","-1","-1","-1","-1"
"flask.app.Flask.__init__","False","79.6","39","49","63","452","3","5","446","98.7","35","71.4","2","0.4","29","59.2"
"flask.scaffold.Scaffold.__init__","False","128.6","36","28","112","1443","0","4","452","31.3","1","3.6","451","31.3","16","57.1"
"flask.scaffold.find_package","False","53.8","7","13","0","450","0","2","443","98.4","6","46.2","7","1.6","4","30.8"
