"full_name","is_generator","coverage_ratio","run_lines_count","executable_lines_count","total_tests","total_calls","total_exceptions","total_paths","top1_path_calls","top1_path_ratio","top1_path_run_lines","top1_path_run_lines_ratio","top2_path_calls","top2_path_ratio","top2_path_run_lines","top2_path_run_lines_ratio"
"logging.Formatter.__init__","False","88.9","8","9","60","327","38","4","286","87.5","6","66.7","37","11.3","4","44.4"
"logging.PercentStyle.__init__","False","100.0","2","2","59","326","0","1","326","100.0","2","100.0","-1","-1","-1","-1"
"logging.PercentStyle.validate","False","100.0","2","2","48","253","9","2","244","96.4","1","50.0","9","3.6","2","100.0"
"logging._StderrHandler.__init__","False","900.0","9","1","97","1331","0","3","918","69.0","1","100.0","412","31.0","7","700.0"
"logging._checkLevel","False","100.0","9","9","100","1722","6","4","1620","94.1","3","33.3","96","5.6","5","55.6"
"logging._addHandlerRef","False","100.0","4","4","79","412","0","1","412","100.0","4","100.0","-1","-1","-1","-1"
"logging._acquireLock","False","100.0","2","2","133","3843","0","1","3843","100.0","2","100.0","-1","-1","-1","-1"
"logging._releaseLock","False","100.0","2","2","133","3843","0","1","3843","100.0","2","100.0","-1","-1","-1","-1"
"logging.Handler.createLock","False","100.0","2","2","76","381","0","1","381","100.0","2","100.0","-1","-1","-1","-1"
"logging._register_at_fork_reinit_lock","False","100.0","4","4","76","381","0","1","381","100.0","4","100.0","-1","-1","-1","-1"
"logging.RootLogger.__init__","False","900.0","9","1","40","507","0","2","506","99.8","8","800.0","1","0.2","1","100.0"
"logging.Manager.__init__","False","100.0","6","6","2","3","0","1","3","100.0","6","100.0","-1","-1","-1","-1"
"logging.getLogger","False","100.0","3","3","52","1130","2","2","578","51.2","2","66.7","552","48.8","2","66.7"
"logging.Manager.getLogger","False","100.0","20","20","42","584","2","4","483","82.7","11","55.0","93","15.9","9","45.0"
"logging.Manager._fixupParents","False","100.0","16","16","40","489","0","5","383","78.3","7","43.8","58","11.9","14","87.5"
"logging.PlaceHolder.__init__","False","100.0","1","1","16","28","0","1","28","100.0","1","100.0","-1","-1","-1","-1"
"logging.critical","False","100.0","3","3","0","2","0","2","1","50.0","3","100.0","1","50.0","2","66.7"
"logging.StreamHandler.__init__","False","100.0","4","4","67","277","0","2","254","91.7","3","75.0","23","8.3","4","100.0"
"logging.Handler.setFormatter","False","100.0","1","1","44","230","0","1","230","100.0","1","100.0","-1","-1","-1","-1"
"logging.Logger.addHandler","False","100.0","5","5","56","350","0","1","350","100.0","5","100.0","-1","-1","-1","-1"
"logging.Logger.setLevel","False","100.0","2","2","40","516","2","2","514","99.6","2","100.0","2","0.4","1","50.0"
"logging.Manager._clear_cache","False","100.0","6","6","40","519","0","1","519","100.0","6","100.0","-1","-1","-1","-1"
"logging.Logger.critical","False","100.0","2","2","3","8","0","2","5","62.5","2","100.0","3","37.5","1","50.0"
"logging.Logger.isEnabledFor","False","100.0","13","13","69","619","287","4","329","53.2","3","23.1","282","45.6","11","84.6"
"logging.Logger.getEffectiveLevel","False","100.0","6","6","65","455","0","3","374","82.2","4","66.7","75","16.5","5","83.3"
"logging._removeHandlerRef","False","100.0","7","7","9","129","0","1","129","100.0","7","100.0","-1","-1","-1","-1"
"logging.debug","False","100.0","3","3","5","8","0","2","7","87.5","2","66.7","1","12.5","3","100.0"
"logging.Logger.debug","False","100.0","2","2","16","48","0","2","36","75.0","2","100.0","12","25.0","1","50.0"
