"full_name","is_generator","coverage_ratio","run_lines_count","executable_lines_count","total_tests","total_calls","total_exceptions","total_paths","top1_path_calls","top1_path_ratio","top1_path_run_lines","top1_path_run_lines_ratio","top2_path_calls","top2_path_ratio","top2_path_run_lines","top2_path_run_lines_ratio"
"ftplib.FTP.__init__","False","66.7","6","9","3","106","1","3","102","96.2","4","44.4","3","2.8","6","66.7"
"ftplib.FTP.connect","False","100.0","17","17","4","106","1","5","97","91.5","14","82.4","5","4.7","13","76.5"
"ftplib.FTP.getresp","False","91.7","11","12","40","716","14","5","702","98.0","6","50.0","6","0.8","8","66.7"
"ftplib.FTP.getmultiline","False","30.0","3","10","41","718","2","2","716","99.7","3","30.0","2","0.3","1","10.0"
"ftplib.FTP.getline","False","75.0","9","12","41","718","2","2","716","99.7","8","66.7","2","0.3","3","25.0"
"ftplib.FTP.abort","False","75.0","6","8","1","1","0","1","1","100.0","6","75.0","-1","-1","-1","-1"
"ftplib.FTP.close","False","100.0","9","9","5","111","0","2","105","94.6","9","100.0","6","5.4","7","77.8"
"ftplib.FTP.acct","False","100.0","2","2","1","2","0","1","2","100.0","2","100.0","-1","-1","-1","-1"
"ftplib.FTP.voidcmd","False","100.0","2","2","25","212","6","1","212","100.0","2","100.0","-1","-1","-1","-1"
"ftplib.FTP.putcmd","False","100.0","2","2","40","528","6","1","528","100.0","2","100.0","-1","-1","-1","-1"
"ftplib.FTP.putline","False","85.7","6","7","40","528","6","2","522","98.9","5","71.4","6","1.1","2","28.6"
"ftplib.FTP.voidresp","False","100.0","4","4","29","301","6","3","295","98.0","3","75.0","4","1.3","3","75.0"
"ftplib.FTP.cwd","False","40.0","4","10","1","2","0","1","2","100.0","4","40.0","-1","-1","-1","-1"
"ftplib.FTP.delete","False","100.0","4","4","1","4","2","2","2","50.0","3","75.0","2","50.0","3","75.0"
"ftplib.FTP.sendcmd","False","100.0","2","2","27","316","18","2","310","98.1","2","100.0","6","1.9","1","50.0"
"ftplib.FTP.dir","False","75.0","6","8","1","2","0","1","2","100.0","6","75.0","-1","-1","-1","-1"
"ftplib.FTP.retrlines","False","85.7","18","21","5","54","2","5","24","44.4","16","76.2","24","44.4","17","81.0"
"ftplib.FTP.transfercmd","False","100.0","1","1","14","98","0","1","98","100.0","1","100.0","-1","-1","-1","-1"
"ftplib.FTP.ntransfercmd","False","70.0","21","30","14","98","0","3","87","88.8","12","40.0","10","10.2","13","43.3"
"ftplib.FTP.makepasv","False","100.0","7","7","18","104","0","3","100","96.2","5","71.4","2","1.9","5","71.4"
"ftplib.parse227","False","83.3","10","12","17","102","0","2","101","99.0","8","66.7","1","1.0","10","83.3"
"ftplib.FTP.retrbinary","False","100.0","10","10","2","14","0","2","8","57.1","9","90.0","6","42.9","10","100.0"
"ftplib.FTP.storbinary","False","100.0","12","12","2","16","0","4","5","31.2","10","83.3","5","31.2","11","91.7"
"ftplib.FTP.mkd","False","75.0","3","4","2","6","0","1","6","100.0","3","75.0","-1","-1","-1","-1"
"ftplib.parse257","False","93.8","15","16","4","22","2","4","12","54.5","13","81.2","4","18.2","12","75.0"
"ftplib.FTP.getwelcome","False","66.7","2","3","1","2","0","1","2","100.0","2","66.7","-1","-1","-1","-1"
"ftplib.FTP.login","False","87.5","14","16","3","5","0","1","5","100.0","14","87.5","-1","-1","-1","-1"
"ftplib.FTP.makeport","False","100.0","9","9","2","4","0","2","2","50.0","8","88.9","2","50.0","8","88.9"
"ftplib.FTP.sendport","False","100.0","5","5","1","2","0","1","2","100.0","5","100.0","-1","-1","-1","-1"
"ftplib.FTP.mlsd","True","100.0","14","14","1","40","28","4","32","80.0","12","85.7","4","10.0","6","42.9"
