"full_name","is_generator","coverage_ratio","run_lines_count","executable_lines_count","total_tests","total_calls","total_exceptions","total_paths","top1_path_calls","top1_path_ratio","top1_path_run_lines","top1_path_run_lines_ratio","top2_path_calls","top2_path_ratio","top2_path_run_lines","top2_path_run_lines_ratio"
"pylint.__pkginfo__.get_numversion_from_version","False","100.0","18","18","1","12","9","5","6","50.0","15","83.3","3","25.0","7","38.9"
"pylint.constants._get_pylint_home","False","100.0","4","4","1","2","0","2","1","50.0","3","75.0","1","50.0","2","50.0"
"pylint.constants._warn_about_old_home","False","73.9","17","23","1","2","0","2","1","50.0","5","21.7","1","50.0","17","73.9"
"pylint.config.find_default_config_files.find_pylintrc","False","100.0","8","8","4","16","0","2","8","50.0","7","87.5","8","50.0","6","75.0"
"pylint.config.find_default_config_files.find_default_config_files","True","78.6","11","14","23","70","49","4","44","62.9","1","7.1","21","30.0","7","50.0"
"pylint.config.find_default_config_files._yield_default_files","True","80.0","8","10","23","70","45","3","44","62.9","7","70.0","25","35.7","3","30.0"
"pylint.checkers.utils.only_required_for_messages","False","50.0","2","4","0","188","0","1","188","100.0","2","50.0","-1","-1","-1","-1"
"pylint.config._pylint_config.utils.should_retry_after_invalid_input","False","15.4","2","13","0","2","0","1","2","100.0","2","15.4","-1","-1","-1","-1"
"pylint.testutils.global_test_linter.create_test_linter","False","100.0","6","6","0","1","0","1","1","100.0","6","100.0","-1","-1","-1","-1"
"pylint.testutils.reporter_for_tests.GenericTestReporter.__init__","False","100.0","2","2","24","124","0","1","124","100.0","2","100.0","-1","-1","-1","-1"
"pylint.testutils.reporter_for_tests.GenericTestReporter.reset","False","100.0","2","2","26","168","0","1","168","100.0","2","100.0","-1","-1","-1","-1"
"pylint.lint.pylinter.PyLinter.__init__","False","193.0","83","43","94","103495","0","8","48737","47.1","4","9.3","48707","47.1","5","11.6"
"pylint.config.arguments_manager._ArgumentsManager.reset_parsers","False","100.0","9","9","89","1536","0","1","1536","100.0","9","100.0","-1","-1","-1","-1"
"pylint.config.option_parser.OptionParser.__init__","False","100.0","5","5","89","1536","0","1","1536","100.0","5","100.0","-1","-1","-1","-1"
"pylint.config.option.Option.__init__","False","85.7","6","7","89","1537","0","1","1537","100.0","6","85.7","-1","-1","-1","-1"
"pylint.config.option.Option._check_choice","False","16.7","2","12","89","1537","0","1","1537","100.0","2","16.7","-1","-1","-1","-1"
"pylint.reporters.text.TextReporter.__init__","False","100.0","5","5","74","1493","0","1","1493","100.0","5","100.0","-1","-1","-1","-1"
"pylint.reporters.base_reporter.BaseReporter.__init__","False","100.0","10","10","85","2333","0","2","2332","100.0","6","60.0","1","0.0","10","100.0"
"pylint.lint.pylinter.PyLinter.set_reporter","False","100.0","2","2","87","2446","0","1","2446","100.0","2","100.0","-1","-1","-1","-1"
"pylint.utils.linterstats.LinterStats.__init__","False","81.0","34","42","108","2739","0","2","2737","99.9","34","81.0","2","0.1","22","52.4"
"pylint.lint.base_options._make_linter_options","False","100.0","222","222","82","1505","0","1","1505","100.0","222","100.0","-1","-1","-1","-1"
"pylint.config.arguments_manager._ArgumentsManager._register_options_provider","False","100.0","9","9","94","48737","0","3","28399","58.3","2","22.2","16457","33.8","9","100.0"
"pylint.config.utils._convert_option_to_argument","False","100.0","90","90","91","172704","1","10","151619","87.8","21","23.3","5067","2.9","15","16.7"
"pylint.config.argument._StoreOldNamesArgument.__init__","False","100.0","12","12","89","3130","0","1","3130","100.0","12","100.0","-1","-1","-1","-1"
"pylint.config.argument._DeprecationArgument.__init__","False","100.0","12","12","89","4318","0","1","4318","100.0","12","100.0","-1","-1","-1","-1"
"pylint.config.argument._Argument.__init__","False","100.0","10","10","91","172704","0","2","171199","99.1","9","90.0","1505","0.9","10","100.0"
"pylint.config.arguments_manager._ArgumentsManager._add_arguments_to_parser","False","100.0","9","9","91","172704","22456","3","150248","87.0","3","33.3","19739","11.4","8","88.9"
"pylint.config.deprecation_actions._OldNamesAction.__init__","False","59.1","13","22","0","3130","0","1","3130","100.0","13","59.1","-1","-1","-1","-1"
"pylint.config.argument._StoreArgument.__init__","False","100.0","13","13","90","156285","0","1","156285","100.0","13","100.0","-1","-1","-1","-1"
"pylint.config.argument._BaseStoreArgument.__init__","False","100.0","6","6","91","159455","0","1","159455","100.0","6","100.0","-1","-1","-1","-1"
"pylint.config.argument._CallableArgument.__init__","False","100.0","8","8","82","8931","0","1","8931","100.0","8","100.0","-1","-1","-1","-1"
"pylint.config.callback_actions._AccessLinterObjectAction.__init__","False","60.0","12","20","0","4515","0","1","4515","100.0","12","60.0","-1","-1","-1","-1"
"pylint.config.argument._StoreTrueArgument.__init__","False","100.0","7","7","90","3170","0","1","3170","100.0","7","100.0","-1","-1","-1","-1"
"pylint.config.arguments_manager._ArgumentsManager._load_default_argument_values","False","100.0","1","1","94","48737","0","1","48737","100.0","1","100.0","-1","-1","-1","-1"
"pylint.utils.utils._unquote","False","100.0","7","7","104","275129","0","3","145605","52.9","2","28.6","129478","47.1","4","57.1"
"pylint.config.argument._csv_transformer","False","100.0","1","1","82","5191","0","1","5191","100.0","1","100.0","-1","-1","-1","-1"
"pylint.utils.utils._check_csv","False","66.7","2","3","86","6141","0","1","6141","100.0","2","66.7","-1","-1","-1","-1"
"pylint.utils.utils._splitstrip","False","100.0","1","1","87","6285","0","1","6285","100.0","1","100.0","-1","-1","-1","-1"
"pylint.message.message_definition_store.MessageDefinitionStore.__init__","False","80.0","4","5","84","1528","0","1","1528","100.0","4","80.0","-1","-1","-1","-1"
"pylint.message.message_id_store.MessageIdStore.__init__","False","100.0","4","4","84","1535","0","1","1535","100.0","4","100.0","-1","-1","-1","-1"
"pylint.utils.file_state.FileState.__init__","False","85.2","23","27","100","2835","0","5","1507","53.2","14","51.9","1325","46.7","14","51.9"
"pylint.lint.pylinter.PyLinter.register_checker","False","90.0","9","10","83","48400","1","6","42233","87.3","7","70.0","4969","10.3","8","80.0"
"pylint.reporters.reports_handler_mix_in.ReportsHandlerMixIn.register_report","False","100.0","2","2","82","10287","0","1","10287","100.0","2","100.0","-1","-1","-1","-1"
"pylint.checkers.base_checker.BaseChecker.__hash__","False","100.0","1","1","83","16429","0","1","16429","100.0","1","100.0","-1","-1","-1","-1"
"pylint.message.message_definition_store.MessageDefinitionStore.register_messages_from_checker","False","100.0","3","3","83","48421","10","3","47264","97.6","3","100.0","1155","2.4","2","66.7"
"pylint.checkers.base_checker.BaseChecker.check_consistency","False","100.0","12","12","83","48421","2","4","44956","92.8","7","58.3","2308","4.8","8","66.7"
"pylint.checkers.base_checker.BaseChecker.create_message_definition_from_tuple","False","78.9","15","19","2","1299987","1","5","873244","67.2","11","57.9","221029","17.0","10","52.6"
"pylint.interfaces.implements","False","87.5","7","8","58","1146460","0","1","1146460","100.0","7","87.5","-1","-1","-1","-1"
"pylint.message.message_definition.MessageDefinition.__init__","False","77.3","17","22","3","1299993","2","3","1187226","91.3","13","59.1","112765","8.7","17","77.3"
"pylint.message.message_definition_store.MessageDefinitionStore.register_message","False","100.0","4","4","83","428611","8","2","428603","100.0","4","100.0","8","0.0","2","50.0"
"pylint.message.message_id_store.MessageIdStore.register_message_definition","False","100.0","5","5","85","428688","8","4","391484","91.3","3","60.0","37196","8.7","5","100.0"
