"full_name","is_generator","coverage_ratio","run_lines_count","executable_lines_count","total_tests","total_calls","total_exceptions","total_paths","top1_path_calls","top1_path_ratio","top1_path_run_lines","top1_path_run_lines_ratio","top2_path_calls","top2_path_ratio","top2_path_run_lines","top2_path_run_lines_ratio"
"gzip.open","False","95.0","19","20","11","34","8","10","15","44.1","9","45.0","8","23.5","8","40.0"
"gzip.GzipFile.__init__","False","94.7","36","38","50","375","4","10","235","62.7","22","57.9","27","7.2","16","42.1"
"gzip.GzipFile._init_write","False","100.0","6","6","39","287","0","1","287","100.0","6","100.0","-1","-1","-1","-1"
"gzip.GzipFile._write_gzip_header","False","92.6","25","27","39","287","0","10","253","88.2","21","77.8","15","5.2","19","70.4"
"gzip.write32u","False","100.0","1","1","39","861","0","1","861","100.0","1","100.0","-1","-1","-1","-1"
"gzip.GzipFile.write","False","81.2","13","16","35","314","3","5","301","95.9","11","68.8","6","1.9","7","43.8"
"gzip.GzipFile.close","False","100.0","15","15","50","399","0","5","253","63.4","12","80.0","49","12.3","9","60.0"
"gzip._GzipReader.__init__","False","100.0","4","4","42","84","0","1","84","100.0","4","100.0","-1","-1","-1","-1"
"gzip.GzipFile.flush","False","100.0","4","4","9","25","1","3","17","68.0","4","100.0","7","28.0","2","50.0"
"gzip.GzipFile.fileno","False","100.0","1","1","1","26","0","1","26","100.0","1","100.0","-1","-1","-1","-1"
"gzip.GzipFile.read","False","60.0","3","5","30","325","11","2","324","99.7","3","60.0","1","0.3","1","20.0"
"gzip._GzipReader.read","False","86.2","25","29","35","346","11","9","206","59.5","22","75.9","62","17.9","18","62.1"
"gzip._GzipReader._init_read","False","100.0","2","2","35","341","0","1","341","100.0","2","100.0","-1","-1","-1","-1"
"gzip._GzipReader._read_gzip_header","False","76.0","19","25","35","341","9","6","244","71.6","15","60.0","59","17.3","3","12.0"
"gzip._PaddedFile.read","False","100.0","10","10","35","5630","0","3","4430","78.7","5","50.0","862","15.3","2","20.0"
"gzip._GzipReader._read_exact","False","85.7","6","7","34","545","10","2","535","98.2","3","42.9","10","1.8","5","71.4"
"gzip._PaddedFile.prepend","False","100.0","6","6","34","481","0","2","274","57.0","4","66.7","207","43.0","3","50.0"
"gzip._GzipReader._add_read_data","False","100.0","2","2","34","276","0","1","276","100.0","2","100.0","-1","-1","-1","-1"
"gzip._GzipReader._read_eof","False","72.7","8","11","31","262","2","3","206","78.6","8","72.7","54","20.6","7","63.6"
"gzip.GzipFile.readline","False","100.0","2","2","4","1183","1","1","1183","100.0","2","100.0","-1","-1","-1","-1"
"gzip.GzipFile.readable","False","100.0","1","1","7","11","0","1","11","100.0","1","100.0","-1","-1","-1","-1"
"gzip.GzipFile.seek","False","81.2","13","16","10","1027","2","4","1004","97.8","4","25.0","16","1.6","8","50.0"
"gzip._PaddedFile.seekable","False","100.0","1","1","4","1004","0","1","1004","100.0","1","100.0","-1","-1","-1","-1"
"gzip.compress","False","100.0","4","4","6","22","0","1","22","100.0","4","100.0","-1","-1","-1","-1"
"gzip.decompress","False","100.0","2","2","5","13","0","1","13","100.0","2","100.0","-1","-1","-1","-1"
"gzip.GzipFile.peek","False","60.0","3","5","1","4","0","1","4","100.0","3","60.0","-1","-1","-1","-1"
"gzip.GzipFile.read1","False","71.4","5","7","3","7","0","2","5","71.4","4","57.1","2","28.6","5","71.4"
"gzip._GzipReader._rewind","False","100.0","2","2","1","1","0","1","1","100.0","2","100.0","-1","-1","-1","-1"
"gzip._PaddedFile.seek","False","100.0","3","3","1","1","0","1","1","100.0","3","100.0","-1","-1","-1","-1"
"gzip.GzipFile.writable","False","100.0","1","1","6","10","0","1","10","100.0","1","100.0","-1","-1","-1","-1"
"gzip.GzipFile.seekable","False","100.0","1","1","6","10","0","1","10","100.0","1","100.0","-1","-1","-1","-1"
